strategy,date,quantile,e_start,e_end,plan_kwh,emergency_kwh,load_kwh,plan_cost,emergency_cost,total_cost,pv_spill_kwh,paid_grid_spill_kwh,charge_kwh,discharge_kwh,emergency_slots,solver,solve_seconds
warmup,2025-01-25,,10800.0,10789.292328042327,73667.3776839212,0.0,80632.06428333334,45855.854347091685,0.0,45855.854347091685,8080.903916196352,25126.094290799527,10686.531131687247,8665.72712142857,0,LP,0.006775999994715676
warmup,2025-01-26,,10789.292328042327,5366.10307132275,72973.95186556436,12663.421252499411,126385.04864999997,45375.830501396085,77117.64804045684,122493.47854185292,0.0,0.0,14838.17587251616,16899.79278778571,35,LP,0.006970199989154935
warmup,2025-01-27,,5366.10307132275,5293.417301269841,78842.91207910056,9467.965155142852,125642.95023333342,47734.37224967388,57478.4168225978,105212.78907227168,0.0,0.0,22007.250757671958,17891.2903067619,30,LP,0.006149299995740876
warmup,2025-01-28,,5293.417301269841,5448.819231349205,78361.20711984122,12795.879936398589,126496.61093333327,47319.186679816135,76916.29207425112,124235.47875406727,0.0,22.79738095238099,21126.466166049377,16972.575857428565,35,LP,0.006294199993135408
warmup,2025-01-29,,5448.819231349205,5482.696935317461,78705.33047942385,7018.791917666669,125425.4448666667,47563.32951099412,41349.00307656933,88912.33258756343,0.0,9.974999999999795,22623.4548079953,18294.508460904763,28,LP,0.007084799988660961
warmup,2025-01-30,,5482.696935317461,5668.3257005820105,77561.36519964725,10632.586950357156,126011.04994999997,46699.08991923362,62327.63076748876,109026.72068672233,0.0,77.18246904761895,22142.74215202822,17768.555254404753,32,LP,0.006371499999659136
warmup,2025-01-31,,5668.3257005820105,10800.0,76530.37408611523,0.0,80009.91998333333,46046.5091553815,0.0,46046.5091553815,6839.702883333334,23030.597356202226,17248.652247912996,9352.901451333335,0,LP,0.007639699993887916
baseline,2025-02-01,,10800.0,10766.205555555556,70675.14558645236,0.0,76305.2062833333,43507.1349965426,0.0,43507.1349965426,9265.026327777776,25040.91684594356,10639.165681040558,8648.139201642858,0,LP,0.006405699998140335
baseline,2025-02-02,,10766.205555555556,5690.115659021165,70130.72839954936,6967.723859380948,121705.97265000001,43118.516094948915,41887.81901908871,85006.33511403765,0.0,50.334178571428424,17159.58440652557,18467.744276166664,27,LP,0.00688060000538826
baseline,2025-02-03,,5690.115659021165,5562.26135648148,74454.8845363495,9760.251648214284,122603.76899999996,44555.332922094865,58423.05081550557,102978.38373760044,0.0,17.61261904761932,21556.189146325687,17575.582080809523,31,LP,0.008226700010709465
baseline,2025-02-04,,5562.26135648148,5463.62968936508,74010.3251564374,11159.58555269048,121578.09884999998,44226.99386944863,67184.87069808017,111411.8645675288,0.0,0.0,21388.5013659612,17413.454606833322,33,LP,0.0073376999935135245
baseline,2025-02-05,,5463.62968936508,5531.441899814815,73279.68740511466,11476.303239428573,121991.08443333334,43723.46784633022,67432.96741886518,111156.43526519544,0.0,0.0,20771.22458844797,16763.660927238085,35,LP,0.0062837000004947186
baseline,2025-02-06,,5531.441899814815,5541.1184857936505,73118.17220817161,11104.05598332599,122252.16269999999,43656.691397171984,66785.59650725761,110442.28790442958,0.0,3.0653714285712113,20733.666715902407,16785.5611125,36,LP,0.005461799999466166
baseline,2025-02-07,,5541.1184857936505,10800.0,72610.92065385068,0.0,76168.59693333329,43254.14637297128,0.0,43254.14637297128,10394.751736331567,22253.311424368014,18022.023493151086,9864.845666666666,0,LP,0.005804100015666336
baseline,2025-02-08,,10800.0,10789.135978835979,65755.9690984127,0.0,75746.78751666665,40185.58924289032,0.0,40185.58924289032,10035.645270899473,22007.96150440917,11289.353818342155,9154.15421190476,0,LP,0.006814600026700646
baseline,2025-02-09,,10789.135978835979,5449.67690005291,65367.63283206936,12147.18305034951,121547.90356666666,39913.39517011145,72430.10047886061,112343.49564897208,0.0,0.0,14552.174140299818,16592.774224547607,36,LP,0.007020399993052706
baseline,2025-02-10,,5449.67690005291,5321.273788518518,71483.53981860673,7255.605951571421,121477.56451666665,42482.82196827378,43218.51150616259,85701.33347443635,0.0,230.73554047619007,22617.554982892416,18435.78233652381,31,LP,0.007194899983005598
baseline,2025-02-11,,5321.273788518518,5492.287455608465,70781.05617818926,8810.483886309532,121441.28161666669,41949.68913792765,51753.430828632794,93703.11996656047,0.0,0.0,22194.898056760732,17823.955125595225,31,LP,0.007043899997370318
baseline,2025-02-12,,5492.287455608465,5455.934323227513,69713.27481349204,9730.932534309524,121363.85288333334,41277.9678807889,58298.34402002078,99576.31190080971,0.0,46.5350404761906,21913.968384920638,17783.03221092857,33,LP,0.005407200020272285
baseline,2025-02-13,,5455.934323227513,5624.230005343916,68906.81962013521,6977.1224450000045,121310.28371666669,40792.538342116124,41179.19377545095,81971.73211756712,0.0,243.65798809523756,21891.25761299236,17580.45255261905,27,LP,0.0061920000007376075
baseline,2025-02-14,,5624.230005343916,10800.0,67334.21773118753,0.0,75872.63795000003,39854.265403501195,0.0,39854.265403501195,10084.330499029984,19531.542712433864,17149.20898877131,9232.666285714284,0,LP,0.005594400019617751
baseline,2025-02-15,,10800.0,10763.909259259259,61278.53036269842,0.0,76054.55224999998,37174.41927739048,0.0,37174.41927739048,10663.34755617284,19218.315211463843,11311.88506172839,9195.108566666666,0,LP,0.0063442999962717295
baseline,2025-02-16,,10763.909259259259,5443.214201984126,60964.49219082894,12122.801833571426,121276.97728333334,36934.97085649225,72046.69284613722,108981.66370262945,0.0,0.0,13150.213031305113,15440.298106904764,37,LP,0.006621800013817847
baseline,2025-02-17,,5443.214201984126,5321.364843650794,66257.70419861846,8637.405145928573,120960.37281666667,39022.83056520265,52324.88767931866,91347.71824452135,0.0,0.0,20110.0557914756,16398.809613595236,34,LP,0.006019599997671321
baseline,2025-02-18,,5321.364843650794,5529.07925584656,65933.76119761905,10024.51824442858,121331.27123333327,38765.48759253857,61601.23260566466,100366.72019820329,0.0,0.0,19368.150988095236,15501.259329380944,34,LP,0.00599899998633191
baseline,2025-02-19,,5529.07925584656,5222.418459656084,65250.751747942384,11224.34232100413,121866.79411666667,38317.68997401575,66635.62619709322,104953.31617110896,0.0,85.8505571428575,19925.846552851264,16415.930424380946,35,LP,0.005266499996650964
baseline,2025-02-20,,5222.418459656084,5569.6704291269825,65242.910127013514,9810.430924500002,121105.25703333328,38240.71249697317,57943.081970582396,96183.79446755559,0.0,0.0,19724.634450823047,15664.427132642859,34,LP,0.006167299987282604
baseline,2025-02-21,,5569.6704291269825,10800.0,64801.79734185773,0.0,75802.0020333333,38017.803710547385,0.0,38017.803710547385,12505.89101781305,18756.54392451498,17220.019749529696,9240.919383333332,0,LP,0.005926800018642098
baseline,2025-02-22,,10800.0,10728.69126984127,58381.50025746621,0.0,75682.2422666667,35190.5496489853,0.0,35190.5496489853,10504.120795855377,17904.85006890065,11536.549297472078,9408.782788095235,0,LP,0.005936200002906844
baseline,2025-02-23,,10728.69126984127,5452.856376058201,58256.33837627867,11023.598684833334,121142.14093333337,35056.809129751025,66212.95894942578,101269.76807917678,0.0,0.0,13138.604116754848,15390.520738976185,35,LP,0.008798800001386553
baseline,2025-02-24,,5452.856376058201,5421.3847099470895,63564.89437695474,8447.054979214285,120628.98855,37143.32018837558,51669.91715025982,88813.2373386354,0.0,0.0,20196.001257907115,16387.08551840476,30,LP,0.005586799990851432
baseline,2025-02-25,,5421.3847099470895,5433.178251481481,63171.496734038796,7043.215092690478,121093.33288333328,36904.75174975026,42488.636915727024,79393.38866547731,0.0,336.74177142857104,21294.908603086424,17238.261781119047,28,LP,0.006901000015204772
baseline,2025-02-26,,5433.178251481481,5515.270207142856,62256.51829485598,10239.345296261905,121060.73411666663,36363.35145483308,63480.46685298655,99843.81830781963,0.0,0.0,18984.909461522628,15303.893903738099,32,LP,0.005814899981487542
baseline,2025-02-27,,5515.270207142856,5749.017071402115,61584.03709444444,9796.726442079365,120599.48893333331,35919.23054347254,58264.90763959716,94184.13818306972,0.0,283.1330595238105,20687.75841666667,16546.712139666663,31,LP,0.005111800011945888
baseline,2025-02-28,,5749.017071402115,10800.0,60750.37451675485,0.0,75385.10794999998,35527.43663214607,0.0,35527.43663214607,13256.782663962374,16346.14952463257,17415.600749588477,9560.75197142857,0,LP,0.005684700008714572
baseline,2025-03-01,,10800.0,10776.786243386243,54810.535895061716,0.0,72244.16015,32955.64244887454,0.0,32955.64244887454,12149.21915920047,16811.84394582599,11639.995987654318,9449.289130952377,0,LP,0.005625200021313503
baseline,2025-03-02,,10776.786243386243,5423.980693544972,54235.57465338037,15181.76510597619,117860.41708333329,32618.081636959647,92592.53591889645,125210.61755585608,0.0,0.0,9876.619408142271,12817.58671545238,50,LP,0.006032199977198616
baseline,2025-03-03,,5423.980693544972,5359.483520767195,60313.68020652556,14888.433912972076,117958.74560000001,35153.93508242524,90928.54014276381,126082.47522518902,0.0,38.269504761904955,16867.081246854785,13720.383265452372,39,LP,0.006454200018197298
baseline,2025-03-04,,5359.483520767195,5302.026730608465,60944.01942918872,11618.354089523811,118139.02498333335,35507.71468228419,71341.13250294131,106848.84718522552,0.0,0.0,17971.71945537919,14608.803869999998,31,LP,0.005621100019197911
baseline,2025-03-05,,5302.026730608465,5382.225623280425,61497.149288947665,8439.019414928567,118073.44383333332,35785.055447812534,52163.73374839925,87948.78919621179,0.0,3.3703571428573014,19632.354350852438,15830.028020785716,30,LP,0.0066235000267624855
baseline,2025-03-06,,5382.225623280425,5449.840263042329,61020.76700490889,8768.759219999996,117673.59855000004,35475.524076175476,54559.36740497765,90034.89148115313,0.0,0.0,19936.941662051722,16088.069570476195,27,LP,0.005340300005627796
baseline,2025-03-07,,5449.840263042329,10800.0,60807.6386743386,0.0,71680.36145000004,35262.94650864626,0.0,35262.94650864626,13530.171871193423,18258.417017225154,17271.68678592005,9174.922533333334,0,LP,0.005333999986760318
baseline,2025-03-08,,10800.0,10786.516666666666,54534.81500399765,0.0,72344.71158333328,32580.830182181307,0.0,32580.830182181307,15521.178323074657,17769.777562580835,11541.34000881835,9360.620407142856,0,LP,0.0055272000026889145
baseline,2025-03-09,,10786.516666666666,5495.964764947089,53885.23619900058,7971.6527058994625,117692.98650000004,32128.426496170006,48044.471995617256,80172.89849178726,0.0,423.4410976190471,15060.102467519107,16960.179710238106,27,LP,0.005166799994185567
baseline,2025-03-10,,5495.964764947089,5319.50712436508,58449.192157760146,12551.2741144174,117943.06436666667,33831.47652347974,77501.9289026373,111333.40542611707,0.0,0.0,16406.351045796586,13447.956223619043,34,LP,0.006891400000313297
baseline,2025-03-11,,5319.50712436508,5565.892469153439,58064.3407095532,9783.94216538242,117499.55295,33505.18739573409,61461.098031090834,94966.28542682492,0.0,7.719935714285725,19367.880678483245,15466.236539261909,26,LP,0.005537199991522357
baseline,2025-03-12,,5565.892469153439,5225.2206321957665,56974.07472260435,8866.733447476192,118112.23683333342,32978.19043458324,55121.99371278226,88100.18414736551,0.0,0.0,19536.20073689006,16130.92725014286,25,LP,0.007279500016011298
baseline,2025-03-13,,5225.2206321957665,5466.029012169312,56780.33665008821,13861.576616285709,118237.27704999999,32880.33986874308,85821.35671697676,118701.69658571987,0.0,0.0,15155.6195143739,12059.324264666673,40,LP,0.007223599997814745
baseline,2025-03-14,,5466.029012169312,10800.0,56715.35444185772,0.0,72108.86895000002,32840.46244732507,0.0,32840.46244732507,17332.077211522632,15256.54245864197,17351.236312169316,9253.927523809525,0,LP,0.00553819999913685
baseline,2025-03-15,,10800.0,10634.19819037037,50052.202123162846,0.0,72724.98178333335,29995.133517435035,0.0,29995.133517435035,12995.899390740738,14073.323075543793,11621.453344973546,9562.59883809524,0,LP,0.006974199990509078
baseline,2025-03-16,,10634.19819037037,5346.7641536507945,50491.779864520846,10481.076843497065,117983.21598333328,30178.11870047572,65610.71938454037,95788.83808501612,0.0,51.83807857142847,12256.117521898877,14686.145825785705,28,LP,0.005925499979639426
baseline,2025-03-17,,5346.7641536507945,5602.016728386243,56354.44548233391,6026.134748833333,117693.62179999992,32617.07004406554,37875.22050092443,70492.29054498996,0.0,398.72017142857135,20494.74373233392,16371.015105928573,21,LP,0.007944100012537092
baseline,2025-03-18,,5602.016728386243,5393.769676984126,54561.35480281364,9758.477381503233,117253.4235833333,31748.231337750585,60378.997323053576,92127.22866080413,0.0,1.4012595238094718,17788.92054941211,14596.44799128572,29,LP,0.0061579999746754766
baseline,2025-03-19,,5393.769676984126,5539.689131904762,54413.11176366518,8926.407369177836,117281.55799999996,31582.083124185214,54784.63174535288,86366.7148695381,0.0,121.78718095238071,19057.547328747794,15305.285826857145,26,LP,0.006825500022387132
baseline,2025-03-20,,5539.689131904762,5668.895919312169,53843.17830208876,11680.514190720745,117648.38173333334,31229.409833143636,73675.22706905432,104904.63690219795,0.0,0.0,16833.918776190476,13519.188100047624,32,LP,0.005976200016448274
baseline,2025-03-21,,5668.895919312169,10800.0,53004.645360964125,0.0,72593.53221666667,30791.906406694565,0.0,30791.906406694565,20598.967490946496,12399.675534391536,17655.49550705467,9682.957688095237,0,LP,0.00564779998967424
baseline,2025-03-22,,10800.0,10737.889153439153,46705.23597087009,0.0,71936.92953333334,28066.33269009169,0.0,28066.33269009169,16762.407806995885,11949.676866402117,11409.743821281598,9297.792257142855,0,LP,0.0060434000042732805
baseline,2025-03-23,,10737.889153439153,5443.78515989418,46040.73905232217,10173.114074523804,117739.97726666664,27716.508444966395,62601.09170787886,90317.60015284525,0.0,0.0,11625.403180893592,14181.270170714288,31,LP,0.005605499987723306
baseline,2025-03-24,,5443.78515989418,5272.116082380952,51235.298930834804,10048.582776309519,117425.17061666668,29819.451465722123,63181.38343585089,93000.83490157302,0.0,8.324999999999932,18060.851545120517,14783.791921309527,28,LP,0.006355299992719665
baseline,2025-03-25,,5272.116082380952,5335.131157407408,51470.58146040564,12587.25490428571,118053.16781666665,29873.224380630414,78573.75022218487,108446.9746028153,0.0,0.0,16057.884634215168,12950.172986190473,37,LP,0.005724400019971654
baseline,2025-03-26,,5335.131157407408,5399.158652910053,51348.324842151655,7982.12013121428,117704.62780000006,29828.172277230853,49633.06139662329,79461.23367385413,0.0,3.4955142857139663,19351.420244532626,15617.025652119053,24,LP,0.0058151000121142715
baseline,2025-03-27,,5399.158652910053,5549.810919920635,50694.93916122869,11288.535629523803,117952.59836666663,29519.042764767848,70676.15846635352,100195.2012311214,0.0,0.0,16478.4123707525,13211.926980000002,30,LP,0.005902299977606162
baseline,2025-03-28,,5549.810919920635,10800.0,50005.952784773646,0.0,71891.76726666666,29161.533878976268,0.0,29161.533878976268,21253.36381255144,9911.397860141084,17337.579859700185,9318.269514285714,0,LP,0.005699100001947954
baseline,2025-03-29,,10800.0,10756.929365079364,44122.23966614284,0.0,72118.27746666667,26653.507107227244,0.0,26653.507107227244,24881.88878988829,9388.68813274544,11490.616482128162,9346.162921952382,0,LP,0.006996899988735095
baseline,2025-03-30,,10756.929365079364,5429.720566746031,43313.217128571414,9678.746685761904,117994.70585000007,26272.62950923047,58527.25389914392,84799.8834083744,0.0,0.0,12846.484383333334,15200.140269000001,30,MILP,0.09732719999738038
baseline,2025-03-31,,5429.720566746031,5612.921333650794,48786.71807363316,11125.762309571426,117075.66561666674,28535.580378634175,70484.49803306068,99020.07841169486,0.0,0.0,14716.895840299825,11755.804940428576,30,MILP,0.19536650000372902
baseline,2025-04-01,,5612.921333650794,5528.9210957407395,48227.26216966489,14126.644884952379,117967.14630000001,28283.799866073874,87006.96016348987,115290.76002956377,0.0,0.0,11687.661852998235,9542.606315047618,44,MILP,0.15682219999143854
baseline,2025-04-02,,5528.9210957407395,5459.50477232804,47999.38800135215,14689.563941142858,117986.62945,28166.848901610832,87301.97640935583,115468.82531096665,0.0,0.0,12189.953860875958,9936.337318380945,39,MILP,0.08556489998591132
baseline,2025-04-03,,5459.50477232804,5480.134658201057,48542.68011998825,10571.441729380947,117884.45609999994,28353.073258505785,62785.75159701233,91138.8248555181,0.0,0.0,17010.656239035863,13760.064656333336,31,LP,0.007413800020003691
baseline,2025-04-04,,5480.134658201057,10800.0,48111.97406381539,0.0,71735.75181666664,28132.068362573664,0.0,28132.068362573664,25287.91471213992,8418.605729541445,16772.487181657852,8797.835809523807,0,LP,0.007330099993851036
baseline,2025-04-05,,10800.0,10762.494444444445,42163.9460095238,0.0,72602.74256666665,25571.95935643286,0.0,25571.95935643286,19336.30380911228,8469.092102292774,12358.8953409759,10044.460226190478,0,MILP,0.1004790999868419
baseline,2025-04-06,,10762.494444444445,5491.566574338624,42557.77917183334,9572.278807809522,117205.4305833333,25731.926506340755,57966.82245399059,83698.74896033133,0.0,0.0,12967.45682142857,15247.475108452378,28,LP,0.005510599992703646
baseline,2025-04-07,,5491.566574338624,5289.580072328043,47897.15223962377,8313.176407809518,117015.14203333334,27970.439969626153,50235.80462242347,78206.24459204962,0.0,0.0,16575.77482057613,13608.165456476198,27,LP,0.0065688000177033246
baseline,2025-04-08,,5289.580072328043,5255.172388703702,47584.08884353322,10019.384282071422,117713.29026666663,27755.659134090187,59106.20997093278,86861.86910502298,0.0,0.0,17269.718022104644,14019.43851316667,31,LP,0.00553819999913685
baseline,2025-04-09,,5255.172388703702,5304.2763954761895,47659.36037048795,13894.543840190476,117677.52253333332,27766.88655990159,85401.70012828454,113168.58668818616,0.0,0.0,12502.103094297468,10082.509900285717,39,MILP,0.10985979999531992
baseline,2025-04-10,,5304.2763954761895,5725.048526957671,47490.822717254545,10518.043898619047,117668.7006833333,27708.257397010846,62671.945567798124,90380.20296480897,0.0,0.0,16681.75682915932,13133.52811328571,33,MILP,0.10329109997837804
baseline,2025-04-11,,5725.048526957671,10800.0,46794.962995179296,0.0,72091.99674999999,27406.10500342919,0.0,27406.10500342919,26579.022046090537,7263.899853674305,16147.024226366846,8511.633297619044,0,MILP,0.10174220000044443
baseline,2025-04-12,,10800.0,10741.415343915343,41547.37897380952,0.0,71957.17576666665,25154.653128491664,0.0,25154.653128491664,21388.074405261617,8913.557427689597,11964.804112286885,9744.217521428569,0,MILP,0.044728799985023215
baseline,2025-04-13,,10741.415343915343,5592.761001825397,41203.47437142857,10718.917227857139,117283.06220000007,24937.31426508857,64170.593622908906,89107.9078879975,0.0,0.0,11999.063283333331,14353.030167380952,34,MILP,0.15584300001501106
baseline,2025-04-14,,5592.761001825397,5505.881283915342,46181.92562463256,9167.943802142858,117901.37268333332,27037.46155497517,53094.9698975859,80132.43145256107,0.0,0.0,15263.31248891828,12441.474862142859,31,MILP,0.12290139999822713
baseline,2025-04-15,,5505.881283915342,5586.7582988624345,46165.54775793652,7322.642468261906,117056.90516666666,26991.25769865453,43869.49991032989,70860.75760898442,0.0,0.0,17241.958312698418,13893.196919833334,25,MILP,0.14885060000233352
baseline,2025-04-16,,5586.7582988624345,5291.857256904762,45567.354973486166,12348.437976119048,117924.88506666668,26665.03895623501,74454.24871434721,101119.28767058221,0.0,0.0,12640.062828248087,10503.86182864286,37,MILP,0.14196159999119118
baseline,2025-04-17,,5291.857256904762,5758.76306873016,45659.24865646676,10504.194946261905,117487.04263333339,26651.879597376133,62875.70354589152,89527.58314326764,0.0,0.0,15130.979063609639,11835.877810880951,30,MILP,0.1364095999742858
baseline,2025-04-18,,5758.76306873016,10800.0,44919.8285329218,0.0,71490.16935000003,26287.07517285924,0.0,26287.07517285924,24541.392254938277,6545.595636890067,15482.159050617282,8003.43559285714,0,MILP,0.14980179999838583
baseline,2025-04-19,,10800.0,10730.771693121693,39879.60193333331,0.0,71905.41535,24112.921833123328,0.0,24112.921833123328,21860.50292131098,8847.723255202824,12889.484121105233,10502.787614285715,0,MILP,0.11472209999919869
baseline,2025-04-20,,10730.771693121693,5367.418808095239,39935.03228333332,9718.430152642855,117197.81635,24073.960373630707,56978.21214900728,81052.17252263802,0.0,0.0,13277.55341666667,15581.835864023817,32,MILP,0.13625260000117123
baseline,2025-04-21,,5367.418808095239,5281.546723280422,45056.61268109937,6727.214495547608,118481.6378833333,26177.541798838858,38041.496057885095,64219.03785672395,0.0,0.0,17601.061419194597,14334.144625880961,25,MILP,0.11603760000434704
baseline,2025-04-22,,5281.546723280422,5284.550559312168,45001.89454714873,9912.569286857144,117811.00101666666,26131.546347954263,58780.21362276987,84911.75997072413,0.0,0.0,14520.163499529692,11758.628982190474,32,MILP,0.12261609997949563
baseline,2025-04-23,,5284.550559312168,5471.651152354498,44942.966698353914,9392.36870033333,118030.5147666667,26035.27272976313,55441.47780212848,81476.75053189155,0.0,0.0,14563.306043592007,11627.887361571426,29,MILP,0.1341074999945704
baseline,2025-04-24,,5471.651152354498,5690.115105079364,44453.452654908884,6464.95094347619,117497.77966666665,25750.900236076242,36801.87695906299,62552.777195139235,281.7926999999976,2.8968452380952385,17615.735766813643,14072.128413666665,26,MILP,0.11899019998963922
baseline,2025-04-25,,5690.115105079364,10800.0,43888.107576807764,0.0,71763.32119999999,25429.941519443702,0.0,25429.941519443702,28713.041717254557,5675.068071693123,15267.07227595532,7767.432138095237,0,MILP,0.15322400000877678
baseline,2025-04-26,,10800.0,10766.388888888889,38765.03235714285,0.0,72100.92436666666,23190.452277097615,0.0,23190.452277097615,28759.959186213986,7564.471901851848,12635.04018812464,10264.632552380954,0,MILP,0.09990999998990446
baseline,2025-04-27,,10766.388888888889,5439.052767910052,38594.45722619047,8533.148268690476,117032.5225333333,23125.30080035906,49256.124896009176,72381.42569636821,348.89803333333236,0.0,15788.625195238097,17583.388917023807,28,MILP,0.11454440001398325
baseline,2025-04-28,,5439.052767910052,5495.229678544974,43564.87062378013,15026.420219619049,117537.30080000006,25260.454057977513,90693.21877176581,115953.67282974336,0.0,3.1714238095238443,10082.067807113466,8115.915704190478,45,MILP,0.06773629999952391
baseline,2025-04-29,,5495.229678544974,5511.620202513227,43473.98139714872,7323.15076261905,117252.75871666662,25237.556073087257,44004.02403956858,69241.58011265582,140.61913333333334,0.0,16887.09388524397,13663.794575476191,27,MILP,0.11228120001032948
baseline,2025-04-30,,5511.620202513227,5326.283199470901,43267.20417527923,7618.422533166665,117682.88071666668,25193.039293526752,43979.5980824158,69172.63737594258,0.0,0.0,14713.5556728983,12084.783397785719,26,MILP,0.1116895999875851
