strategy,period,date,issue_hour,plan_version,chosen_source,candidate_count,chosen_score,increase_kwh,decrease_kwh,adjustment_cost,decision_adjustment_cost,changed,solver
rolling_margin_mean14,development,2025-02-09,12,2,margin,2,38306.26856514225,1.7995383333329755,2965.5806960249374,1142.806228303105,1034.3273041722507,1,LP
rolling_margin_mean14,development,2025-02-09,18,3,margin,1,19871.197175342888,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-02-10,0,0,margin,1,60434.26375854116,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-02-10,6,1,margin,2,49125.29811663937,0.0,8320.396608664289,3330.310487872248,3255.3798031064707,1,LP
rolling_margin_mean14,development,2025-02-10,12,2,margin,2,35816.225675978305,1718.38955780598,596.4066320644664,959.7595758977147,912.5311051237874,1,LP
rolling_margin_mean14,development,2025-02-10,18,3,margin,1,19636.64341746203,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-02-11,0,0,margin,1,60411.023314995786,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-02-11,6,1,margin,2,50317.35733843455,12.913706000000161,5184.5221252071315,2273.316026283649,2202.93469390886,1,LP
rolling_margin_mean14,development,2025-02-11,12,2,margin,2,34215.84128773188,0.20436700000016117,1867.9992491892997,764.3884161501089,758.9429357481886,1,LP
rolling_margin_mean14,development,2025-02-11,18,3,margin,1,19278.99914270399,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-02-12,0,0,margin,1,59483.92157020874,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-02-12,6,1,margin,2,49222.197836817104,1.6425513888890464,6174.701544266118,2524.3470321690625,2439.625241697957,1,LP
rolling_margin_mean14,development,2025-02-12,12,2,margin,2,34003.46147509835,38.766739666666695,929.7866220747569,416.32210034054333,405.0136508508278,1,LP
rolling_margin_mean14,development,2025-02-12,18,3,margin,1,19209.237876450192,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-02-13,0,0,margin,1,54755.05633156556,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-02-13,6,1,margin,2,45128.70864654582,7.14428166666778,4836.175900162553,1904.7878209459027,1869.9167154886236,1,LP
rolling_margin_mean14,development,2025-02-13,12,2,margin,2,33062.84363868088,488.49340781550694,213.90775677640454,299.56361615508325,288.04792791170513,1,LP
rolling_margin_mean14,development,2025-02-13,18,3,margin,1,19085.691415243913,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-02-14,0,0,margin,1,20583.81936448626,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-02-14,6,1,margin,2,16222.588109092847,604.9694209999997,205.70239403703636,227.6793875408017,313.8667634608172,1,MILP
rolling_margin_mean14,development,2025-02-14,12,2,margin,2,14822.349593461062,39.30352866666817,52.820057777774934,30.252444731794036,41.210347224330086,1,MILP
rolling_margin_mean14,development,2025-02-14,18,3,margin,2,11614.116714517277,46.03625999999866,3.979039320256561e-13,23.114806145999548,26.079376874785204,1,LP
rolling_margin_mean14,development,2025-02-15,0,0,margin,1,21072.042774683956,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-02-15,6,1,margin,2,15907.861039325078,1.867982777780071,807.4049555555554,265.7286589357787,343.41827858034634,1,MILP
rolling_margin_mean14,development,2025-02-15,12,2,margin,2,15543.92339519733,229.4094453333314,0.0,78.55071169357977,100.66943148467575,1,MILP
rolling_margin_mean14,development,2025-02-15,18,3,keep_previous,2,11600.052199439542,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-02-16,0,0,margin,1,58076.833426693265,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-02-16,6,1,margin,2,47613.67031698322,1.6183428888889466,7586.212250547325,3179.5596456383682,2930.7752267874184,1,LP
rolling_margin_mean14,development,2025-02-16,12,2,margin,2,31485.58343096714,10.172493555557253,487.8388562166655,224.11139250094075,208.64885197274376,1,LP
rolling_margin_mean14,development,2025-02-16,18,3,margin,2,19068.486100828977,42.3455589544418,0.0,26.42151150962396,25.84334339575671,1,LP
rolling_margin_mean14,development,2025-02-17,0,0,margin,1,57405.08751456426,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-02-17,6,1,margin,2,46889.72465980478,110.13458910888698,8230.812049838134,3251.497028536927,3108.4014818770597,1,LP
rolling_margin_mean14,development,2025-02-17,12,2,margin,2,32101.120400731314,0.26715333333334,3560.957882320138,1279.811139390475,1198.003611167555,1,LP
rolling_margin_mean14,development,2025-02-17,18,3,keep_previous,2,19001.254347598748,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-02-18,0,0,margin,1,50559.851214717666,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-02-18,6,1,margin,2,43491.762751134855,565.6228891124815,20.466621333333478,172.9420810252557,162.55986379385905,1,LP
rolling_margin_mean14,development,2025-02-18,12,2,margin,2,31971.089784345142,0.0,2110.637281138548,748.3588796251215,681.3306490256048,1,LP
rolling_margin_mean14,development,2025-02-18,18,3,margin,2,18833.600037153177,112.51893995555724,0.0,72.91789903819887,68.6879906025839,1,LP
rolling_margin_mean14,development,2025-02-19,0,0,margin,1,50829.96625992402,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-02-19,6,1,margin,2,42839.91537788673,19.26392202222246,1307.6610802290936,567.2632244974044,520.8883762595361,1,LP
rolling_margin_mean14,development,2025-02-19,12,2,margin,2,32035.67024149901,764.6972856243665,0.0,281.80304377470287,268.48716002978256,1,LP
rolling_margin_mean14,development,2025-02-19,18,3,margin,1,18764.51085063995,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-02-20,0,0,margin,1,52353.482497580495,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-02-20,6,1,margin,2,44823.57383766808,722.8774259999959,3210.054747597775,1548.86831827566,1429.8414565624137,1,LP
rolling_margin_mean14,development,2025-02-20,12,2,margin,2,31225.017144172503,0.40774166666653855,2334.480907772286,905.961273354992,872.8451654550196,1,LP
rolling_margin_mean14,development,2025-02-20,18,3,margin,1,18740.253553997365,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-02-21,0,0,margin,1,18272.342786176836,0.0,0.0,0.0,0.0,0,MILP
rolling_margin_mean14,development,2025-02-21,6,1,margin,2,13095.948592255978,25.763265333333493,54.156210348425105,27.937700774832336,37.30667216295316,1,MILP
rolling_margin_mean14,development,2025-02-21,12,2,margin,2,14007.96922191733,124.05656723731042,1.1368683772161603e-13,42.54737672612532,57.23666761875293,1,MILP
rolling_margin_mean14,development,2025-02-21,18,3,margin,2,11464.237971318875,73.13980215666749,2.8421709430404007e-13,37.14770551537156,41.08889599729943,1,LP
rolling_margin_mean14,development,2025-02-22,0,0,margin,1,18575.591632395637,0.0,0.0,0.0,0.0,0,MILP
rolling_margin_mean14,development,2025-02-22,6,1,margin,2,13268.578097796813,252.55955229778098,208.58814822222251,139.8202466569705,184.64327143131493,1,MILP
rolling_margin_mean14,development,2025-02-22,12,2,margin,2,13433.260933550933,3.9882404583558225e-13,409.37879551999833,131.9618711966907,173.7888039361482,1,MILP
rolling_margin_mean14,development,2025-02-22,18,3,margin,2,11623.971884281451,180.36350099999544,2.8421709430404007e-13,92.09360361059785,101.35591354230831,1,LP
rolling_margin_mean14,development,2025-02-23,0,0,margin,1,50828.92447324136,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-02-23,6,1,margin,2,43761.76787056896,562.0394425555587,1248.9918387233297,781.3171446738259,720.3958170811818,1,LP
rolling_margin_mean14,development,2025-02-23,12,2,margin,2,30956.594391952825,0.7813895555556201,3383.077678161167,1381.5141417060113,1259.4680859639248,1,LP
rolling_margin_mean14,development,2025-02-23,18,3,margin,1,18641.5142732096,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-02-24,0,0,margin,1,48881.317531923814,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-02-24,6,1,margin,2,41734.996154194945,383.5189247167324,128.87816055555572,140.37882712617107,134.43587998360866,1,LP
rolling_margin_mean14,development,2025-02-24,12,2,margin,2,31321.63864177074,2.425294444442784,3853.2840874197573,1362.678099191015,1259.3865294944687,1,LP
rolling_margin_mean14,development,2025-02-24,18,3,margin,2,18784.76019588546,79.4449236733335,0.0,51.202253307463444,48.45544507145793,1,LP
rolling_margin_mean14,development,2025-02-25,0,0,margin,1,50042.64036553276,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-02-25,6,1,margin,2,41417.210360474,112.61252788888885,3392.316884652777,1436.722357613276,1402.0728739315314,1,LP
rolling_margin_mean14,development,2025-02-25,12,2,margin,2,30237.21849206733,1.839791666666656,4719.043365698219,1587.2844528750002,1508.942274314423,1,LP
rolling_margin_mean14,development,2025-02-25,18,3,margin,1,18610.9114448333,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-02-26,0,0,margin,1,44800.07869741383,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-02-26,6,1,margin,2,38400.16381249488,1080.1781735404643,21.069296888889312,374.6774008802577,329.93888903595325,1,LP
rolling_margin_mean14,development,2025-02-26,12,2,margin,2,30673.881504349352,934.9526764176996,0.0,370.5545411726713,328.474497508831,1,LP
rolling_margin_mean14,development,2025-02-26,18,3,margin,1,18772.300718190807,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-02-27,0,0,margin,1,46098.813083691544,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-02-27,6,1,margin,2,38884.839024961795,573.9097183765034,1309.6891943333299,586.6000648785806,575.2251507176684,1,LP
rolling_margin_mean14,development,2025-02-27,12,2,margin,2,29131.48121591621,79.23277845889118,134.51023726817533,81.22084553792948,77.4505284836862,1,LP
rolling_margin_mean14,development,2025-02-27,18,3,margin,1,18671.534588661656,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-02-28,0,0,margin,1,17538.839549481014,0.0,0.0,0.0,0.0,0,MILP
rolling_margin_mean14,development,2025-02-28,6,1,margin,2,11731.308337273342,5.115907697472721e-13,447.74217799999917,151.59810335860533,206.11828158649496,1,MILP
rolling_margin_mean14,development,2025-02-28,12,2,margin,2,14122.091580320477,287.3519223333334,0.0,91.12521696701079,126.52072587472428,1,MILP
rolling_margin_mean14,development,2025-02-28,18,3,keep_previous,2,11278.160782348983,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-03-01,0,0,margin,1,19253.169229431714,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-03-01,6,1,margin,2,14684.243306609796,1.0231815394945443e-12,497.79242255555624,154.80313634248412,207.77148172348586,1,MILP
rolling_margin_mean14,development,2025-03-01,12,2,margin,2,15180.47733867172,7.071048666668446,11.842721024691514,7.237571741020567,9.48419608212862,1,LP
rolling_margin_mean14,development,2025-03-01,18,3,keep_previous,2,11382.800330348904,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-03-02,0,0,margin,1,51166.65834169507,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-03-02,6,1,margin,2,45556.10789882074,1469.6155829945137,959.1996579410215,1111.8808409981946,1045.5583578900614,1,LP
rolling_margin_mean14,development,2025-03-02,12,2,margin,2,34148.63180707401,88.57016299999952,3626.441725583756,1454.1342440055148,1197.052389352064,1,LP
rolling_margin_mean14,development,2025-03-02,18,3,margin,2,18635.635655309383,41.292263621112056,0.0,27.05882035091473,25.259067546514547,1,LP
rolling_margin_mean14,development,2025-03-03,0,0,margin,1,52758.87947501243,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-03-03,6,1,margin,2,44722.32463469266,997.5021040644446,6433.739000237318,3020.19379425539,2648.998270645181,1,LP
rolling_margin_mean14,development,2025-03-03,12,2,margin,2,31420.556351857223,0.9137273333332132,763.0319787077813,301.0445879591704,261.4871509572573,1,LP
rolling_margin_mean14,development,2025-03-03,18,3,margin,1,18656.80447991682,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-03-04,0,0,margin,1,46521.21430255671,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-03-04,6,1,margin,2,40969.87013665104,1479.5335779283364,11.16840000000002,556.3560367751288,504.05378342486165,1,LP
rolling_margin_mean14,development,2025-03-04,12,2,margin,2,30392.836432885742,0.0,2337.7476098693433,764.435215515709,648.0009474586831,1,LP
rolling_margin_mean14,development,2025-03-04,18,3,margin,2,18625.42388395834,19.99575944778053,0.0,12.73529919229142,12.209410718814791,1,LP
rolling_margin_mean14,development,2025-03-05,0,0,margin,1,48973.14127645197,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-03-05,6,1,margin,2,40866.93607648173,220.69481111111418,3628.262995080452,1476.6755071556734,1371.1225888484594,1,LP
rolling_margin_mean14,development,2025-03-05,12,2,margin,2,30491.467635546753,0.832826888888917,4559.338066794246,1571.001228167298,1421.9789855073486,1,LP
rolling_margin_mean14,development,2025-03-05,18,3,margin,2,19107.01541076713,225.35814544334085,0.0,141.7840772056779,137.58034294264016,1,LP
rolling_margin_mean14,development,2025-03-06,0,0,margin,1,45558.35292327315,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-03-06,6,1,margin,2,38650.85773714095,433.5849945077792,1324.4603746735227,702.9571570382413,635.5217777967889,1,LP
rolling_margin_mean14,development,2025-03-06,12,2,margin,2,30772.389079993038,145.6076797500026,1953.7310054638854,610.8560341521475,570.6012944877764,1,LP
rolling_margin_mean14,development,2025-03-06,18,3,margin,2,18987.663840370486,54.60031222222392,0.0,32.896688113889915,33.345970683032775,1,LP
rolling_margin_mean14,development,2025-03-07,0,0,margin,1,17928.201274680832,0.0,0.0,0.0,0.0,0,MILP
rolling_margin_mean14,development,2025-03-07,6,1,margin,2,12668.816173510695,1.3073986337985843e-12,1114.765144264748,337.88794186919483,449.6079934879043,1,MILP
rolling_margin_mean14,development,2025-03-07,12,2,margin,2,14945.173046360665,5.045936666666876,58.83544488888788,21.744240808572172,28.563392080078003,1,LP
rolling_margin_mean14,development,2025-03-07,18,3,keep_previous,2,11341.74374460951,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-03-08,0,0,margin,1,16455.68135757821,0.0,0.0,0.0,0.0,0,MILP
rolling_margin_mean14,development,2025-03-08,6,1,margin,2,11202.46609534735,5.684341886080802e-14,99.93193277778141,34.14361170981788,45.60589696978136,1,MILP
rolling_margin_mean14,development,2025-03-08,12,2,margin,2,14921.157889084307,131.82214944444644,3.410605131648481e-13,44.18076531180079,58.12881080459743,1,LP
rolling_margin_mean14,development,2025-03-08,18,3,keep_previous,2,11406.260106090967,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-03-09,0,0,margin,1,46724.89204244215,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-03-09,6,1,margin,2,37221.37837922659,3.0496901111113175,8392.413837732964,2834.245130181499,2697.3686506449794,1,LP
rolling_margin_mean14,development,2025-03-09,12,2,margin,2,29039.19452461048,1629.2059412949259,1420.8271402194782,951.2407987859492,932.333678607394,1,LP
rolling_margin_mean14,development,2025-03-09,18,3,margin,1,18632.70728246726,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-03-10,0,0,margin,1,44266.69783979874,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-03-10,6,1,margin,2,38541.02183206879,966.3726914618824,467.98966378189357,629.5090352112314,600.8168410544192,1,LP
rolling_margin_mean14,development,2025-03-10,12,2,margin,2,29736.216806707846,272.6396974466675,1337.153316481476,626.9028341043015,527.7846146514036,1,LP
rolling_margin_mean14,development,2025-03-10,18,3,margin,1,18710.143539965953,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-03-11,0,0,margin,1,39268.7553218335,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-03-11,6,1,margin,2,40354.40404131441,8659.705221167093,0.0,2875.471834339296,2600.012609087124,1,LP
rolling_margin_mean14,development,2025-03-11,12,2,margin,2,30306.83606380036,4.547473508864641e-13,3980.010579032919,1393.339226358486,1281.223969726951,1,LP
rolling_margin_mean14,development,2025-03-11,18,3,margin,2,18690.673141451174,50.203028315555684,4.547473508864641e-13,31.80612858932051,30.773021985198255,1,LP
rolling_margin_mean14,development,2025-03-12,0,0,margin,1,45627.955987577116,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-03-12,6,1,margin,2,36117.21241049593,3.3122900000000755,8083.980444755436,2845.077303583199,2685.7869449675923,1,LP
rolling_margin_mean14,development,2025-03-12,12,2,margin,2,29247.158331065446,1357.2486662793785,1090.1801597201566,846.0805842273791,775.0926117225947,1,LP
rolling_margin_mean14,development,2025-03-12,18,3,margin,1,18742.74825849884,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-03-13,0,0,margin,1,45217.94732819514,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-03-13,6,1,margin,2,39739.026917204,1460.6851174334638,943.803001246665,984.1301455649393,906.0825842319903,1,LP
rolling_margin_mean14,development,2025-03-13,12,2,margin,2,30181.343802255273,0.0,2085.3097872578815,722.1733528695489,610.995024005259,1,LP
rolling_margin_mean14,development,2025-03-13,18,3,margin,1,18627.82547784527,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-03-14,0,0,margin,1,15781.490378209248,0.0,0.0,0.0,0.0,0,MILP
rolling_margin_mean14,development,2025-03-14,6,1,margin,2,11529.854781468744,642.9182105555572,1.7053025658242404e-13,210.74565248077292,272.50779662225636,1,MILP
rolling_margin_mean14,development,2025-03-14,12,2,margin,2,14831.849232425164,0.4406320511120043,280.3102610000018,87.61579928042642,111.7624794751342,1,LP
rolling_margin_mean14,development,2025-03-14,18,3,keep_previous,2,11392.95201026941,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-03-15,0,0,margin,1,15553.9252748235,0.0,0.0,0.0,0.0,0,MILP
rolling_margin_mean14,development,2025-03-15,6,1,margin,2,11193.73961409918,752.5009096666683,2.8421709430404007e-13,235.10598793822285,322.97682292341824,1,MILP
rolling_margin_mean14,development,2025-03-15,12,2,margin,2,13559.623707408013,5.684341886080802e-14,300.2074283333307,86.46055948350973,121.95965873806514,1,MILP
rolling_margin_mean14,development,2025-03-15,18,3,keep_previous,2,11479.545229549069,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-03-16,0,0,margin,1,43372.24279825632,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-03-16,6,1,margin,2,38387.89847268443,2010.7992832655375,100.91749622222233,628.2786809821508,592.5399651876728,1,LP
rolling_margin_mean14,development,2025-03-16,12,2,margin,2,30484.273123042673,0.0,4000.341522981587,1421.0770445820128,1279.3111728519252,1,LP
rolling_margin_mean14,development,2025-03-16,18,3,margin,1,18782.95938001896,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-03-17,0,0,margin,1,39652.73811326991,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-03-17,6,1,margin,2,31288.93600172663,4.564536333333194,6343.061757042432,1676.7102749008727,1695.476151023997,1,LP
rolling_margin_mean14,development,2025-03-17,12,2,margin,2,27451.466923404434,1874.534240740784,0.0,670.5176660403351,639.0569173086487,1,LP
rolling_margin_mean14,development,2025-03-17,18,3,margin,1,18844.51544837138,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-03-18,0,0,margin,1,46094.93086950354,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-03-18,6,1,margin,2,38025.42565938405,318.30587394666077,4903.563922433822,1954.1743842990313,1817.3916718726723,1,LP
rolling_margin_mean14,development,2025-03-18,12,2,margin,2,28724.026726052736,0.0,4596.54737904407,1433.1941801257435,1334.3958756398238,1,LP
rolling_margin_mean14,development,2025-03-18,18,3,keep_previous,2,19013.152311029247,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-03-19,0,0,margin,1,37572.45330540511,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-03-19,6,1,margin,2,35932.857810989895,5665.6638042674895,0.0,1820.614785794115,1707.3257128988948,1,LP
rolling_margin_mean14,development,2025-03-19,12,2,margin,2,28094.19247222005,0.0,2275.4317527736625,795.7665958346427,750.9579667725451,1,LP
rolling_margin_mean14,development,2025-03-19,18,3,keep_previous,2,19173.625990231063,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-03-20,0,0,margin,1,42567.05403343096,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-03-20,6,1,margin,2,33993.030960529926,481.6538380000006,7397.976585285329,2732.3234124451837,2513.026705480848,1,LP
rolling_margin_mean14,development,2025-03-20,12,2,margin,2,27775.431668187826,2209.4296252218955,0.0,727.3943955778793,668.6288612024243,1,LP
rolling_margin_mean14,development,2025-03-20,18,3,margin,2,19144.503822415198,94.50619929915689,0.0,57.80471680132931,57.7274242311882,1,LP
rolling_margin_mean14,development,2025-03-21,0,0,margin,1,15094.94467749177,0.0,0.0,0.0,0.0,0,MILP
rolling_margin_mean14,development,2025-03-21,6,1,margin,2,9239.588672160047,4.141421444445541,553.5454740000024,176.7359653440901,240.89654360578615,1,MILP
rolling_margin_mean14,development,2025-03-21,12,2,margin,2,14140.761851871983,356.0159530000011,7.958078640513122e-13,118.55931576010087,160.18195416813757,1,LP
rolling_margin_mean14,development,2025-03-21,18,3,keep_previous,2,11386.094899317039,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-03-22,0,0,margin,1,15691.056780239891,0.0,0.0,0.0,0.0,0,MILP
rolling_margin_mean14,development,2025-03-22,6,1,margin,2,10198.381368387381,7.06794066666771,212.32197833333785,70.80121805533523,92.68782619297744,1,MILP
rolling_margin_mean14,development,2025-03-22,12,2,margin,2,14472.269986095942,0.0,116.3809543333332,38.56534515830571,51.36676001956923,1,LP
rolling_margin_mean14,development,2025-03-22,18,3,keep_previous,2,11586.515522667267,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-03-23,0,0,margin,1,42962.80362106516,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-03-23,6,1,margin,2,34929.95490256517,11.740177310001627,3752.1318215596775,1370.2776716934727,1322.6536799360401,1,LP
rolling_margin_mean14,development,2025-03-23,12,2,margin,2,27162.091359259444,0.0,3830.504938017813,1078.5066698543026,989.6601713654891,1,LP
rolling_margin_mean14,development,2025-03-23,18,3,margin,2,19061.4197792644,6.12230983555628,0.0,3.888891207545349,3.7428085217905225,1,LP
rolling_margin_mean14,development,2025-03-24,0,0,margin,1,39843.639351104255,0.0,0.0,0.0,0.0,0,LP
