strategy,period,date,issue_hour,plan_version,chosen_source,candidate_count,chosen_score,scenario_mean,scenario_cvar,increase_kwh,decrease_kwh,adjustment_cost,decision_adjustment_cost,changed,scenario_count,solver
rolling_scenario_mean14,development,2025-02-06,18,3,margin,10,19359.64813888061,19254.006021084773,19676.57449226812,0.0,0.0,0.0,0.0,0,9,LP
rolling_scenario_mean14,development,2025-02-07,0,0,residual_0,10,25244.055522599287,25009.62401675904,25947.350040120018,0.0,0.0,0.0,0.0,0,9,LP+MILP
rolling_scenario_mean14,development,2025-02-07,6,1,point,11,19398.261801671633,19177.957825857564,20059.17372911384,245.71224104166777,2650.4222123216696,758.6616807712874,1065.082742529244,1,9,LP+MILP
rolling_scenario_mean14,development,2025-02-07,12,2,margin,11,15150.27967948182,15022.27677619868,15534.28838933124,194.4378647407417,1993.2378022770924,484.00027519720715,750.0648500401671,1,9,MILP
rolling_scenario_mean14,development,2025-02-07,18,3,keep_previous,11,11488.520535289956,11364.004510118963,11862.068610802935,0.0,0.0,0.0,0.0,0,9,LP
rolling_scenario_mean14,development,2025-02-08,0,0,margin,10,19799.00970938845,19687.84686203408,20132.498251451565,0.0,0.0,0.0,0.0,0,9,MILP
rolling_scenario_mean14,development,2025-02-08,6,1,point,11,15840.429155687565,15704.031999243893,16249.620625018582,646.8206926888878,3.410605131648481e-13,214.70020130222645,275.517856856087,1,9,MILP
rolling_scenario_mean14,development,2025-02-08,12,2,point,11,14615.712548075102,14486.306883376257,15003.929542171638,8.21709514209041e-13,251.5235260222197,85.50054405738297,111.77453589190657,1,9,MILP
rolling_scenario_mean14,development,2025-02-08,18,3,point,11,11671.39266261,11544.588191324256,12051.806076467237,65.2029244333325,1.1368683772161603e-13,32.360211396262926,39.54417646329258,1,9,LP
rolling_scenario_mean14,development,2025-02-09,0,0,margin,10,62448.64131948685,60928.56942843014,67008.85699265696,0.0,0.0,0.0,0.0,0,9,LP
rolling_scenario_mean14,development,2025-02-09,6,1,point,11,53840.346171877165,53712.913924368884,54222.642914402,1282.6157173429337,959.2318404599985,1068.3051537865813,997.2935630226365,1,9,LP
rolling_scenario_mean14,development,2025-02-09,12,2,point,11,36243.1135488904,36118.59633011762,36616.66520520871,0.0,2535.2528294974773,985.6138967408026,889.4417584992036,1,9,LP
rolling_scenario_mean14,development,2025-02-09,18,3,point,10,18806.057076456193,18675.25184614787,19198.472767381165,0.0,0.0,0.0,0.0,0,9,LP
rolling_scenario_mean14,development,2025-02-10,0,0,margin,10,58307.88440978853,56868.04678185831,62627.39729357919,0.0,0.0,0.0,0.0,0,9,LP
rolling_scenario_mean14,development,2025-02-10,6,1,point,11,46147.19925252527,46023.14533904993,46519.36099295129,0.0,6249.2201853607685,2509.273175665924,2462.4189655647756,1,9,LP
rolling_scenario_mean14,development,2025-02-10,12,2,point,11,34144.33676039969,34025.134676406065,34501.94301238055,1987.1974560013714,0.0,826.8650098568035,791.897756109073,1,9,LP
rolling_scenario_mean14,development,2025-02-10,18,3,point,11,18782.578054841037,18657.1279434562,19158.928388995555,41.63284444999863,0.0,25.47930080339916,26.086694266178608,1,9,LP
rolling_scenario_mean14,development,2025-02-11,0,0,margin,10,58868.799809782824,57490.247745876455,63004.456001501916,0.0,0.0,0.0,0.0,0,9,LP
rolling_scenario_mean14,development,2025-02-11,6,1,margin,11,47858.93882538883,47742.38167774267,48208.610268327306,5.982313555555834,3359.9084989951975,1461.6245960900496,1416.3464487446147,1,9,LP
rolling_scenario_mean14,development,2025-02-11,12,2,point,11,32870.83619843354,32759.858263144277,33203.77000430133,0.0,1218.7999024759933,545.1433266985301,531.4015753089525,1,9,LP
rolling_scenario_mean14,development,2025-02-11,18,3,point,11,18568.148612317997,18449.85594222413,18923.02662259959,21.70982609999851,0.0,13.454664725474077,13.525454265578711,1,9,LP
rolling_scenario_mean14,development,2025-02-12,0,0,margin,10,58532.10062007878,57189.56211348892,62559.71613984837,0.0,0.0,0.0,0.0,0,9,LP
rolling_scenario_mean14,development,2025-02-12,6,1,margin,11,47252.28363188999,47148.00697969415,47565.11358847753,10.327779111110772,4432.877093864196,1824.2444584695077,1766.250086283737,1,9,LP
rolling_scenario_mean14,development,2025-02-12,12,2,point,11,32874.77099578009,32767.341559946984,33197.0593032794,0.0,441.2425591689739,215.6221655435064,204.1472615083194,1,9,LP
rolling_scenario_mean14,development,2025-02-12,18,3,point,11,18611.322888181516,18500.04615546963,18945.153086317176,36.839576566668825,0.0,23.960460598961404,22.869482852922765,1,9,LP
rolling_scenario_mean14,development,2025-02-13,0,0,margin,10,54056.30392889309,52817.687705175944,57772.15260004454,0.0,0.0,0.0,0.0,0,9,LP
rolling_scenario_mean14,development,2025-02-13,6,1,margin,11,43673.582928200034,43463.93164695432,44302.53677193718,93.50490386111164,3422.294558149524,1377.4370771351853,1351.348301140828,1,9,LP
rolling_scenario_mean14,development,2025-02-13,12,2,point,11,32154.397666421228,32041.467804492295,32493.18725220803,622.9474616889297,0.0,252.22341773707348,248.5740406260583,1,9,LP
rolling_scenario_mean14,development,2025-02-13,18,3,margin,10,18546.231179762144,18441.980513312457,18858.98317911121,0.0,0.0,0.0,0.0,0,9,LP
rolling_scenario_mean14,development,2025-02-14,0,0,margin,10,19058.92189733553,18972.4407624602,19318.365301961534,0.0,0.0,0.0,0.0,0,9,LP+MILP
rolling_scenario_mean14,development,2025-02-14,6,1,point,11,14914.46768793668,14800.996642647424,15254.88082380445,533.487141257778,2.8421709430404007e-13,173.2548698087808,226.87582719288497,1,9,MILP
rolling_scenario_mean14,development,2025-02-14,12,2,point,11,13613.046133694465,13504.479304812974,13938.746620338934,21.533437935557124,22.94024629629783,15.650725952576856,20.222340861793448,1,9,MILP
rolling_scenario_mean14,development,2025-02-14,18,3,point,11,11172.77948306088,11071.08330880474,11477.8680058293,102.86208388888616,4.547473508864641e-13,51.64705232060999,58.27100315846898,1,9,LP
rolling_scenario_mean14,development,2025-02-15,0,0,margin,10,19769.642003802604,19694.62551208232,19994.691478963465,0.0,0.0,0.0,0.0,0,9,LP+MILP
rolling_scenario_mean14,development,2025-02-15,6,1,margin,11,14543.585654558785,14444.0138164926,14842.301168757338,2.738537222219776,708.0294095555585,234.55429816648336,302.7545923321604,1,9,MILP
rolling_scenario_mean14,development,2025-02-15,12,2,point,11,14018.81412388463,13902.63573952523,14367.349276962825,19.196341037783533,2.2737367544323206e-13,5.489193719754358,7.360494179134016,1,9,MILP
rolling_scenario_mean14,development,2025-02-15,18,3,keep_previous,11,11155.143339951503,11062.144689763625,11434.139290515135,0.0,0.0,0.0,0.0,0,9,LP
rolling_scenario_mean14,development,2025-02-16,0,0,margin,10,57236.89082303047,56609.72523206938,59118.387595913744,0.0,0.0,0.0,0.0,0,9,LP
rolling_scenario_mean14,development,2025-02-16,6,1,margin,11,46495.89260059189,46410.49854922053,46752.07475470598,0.41799255555611126,6049.872789227713,2562.6365755306906,2366.6681490635992,1,9,LP
rolling_scenario_mean14,development,2025-02-16,12,2,margin,11,30953.38974014195,30864.86500898301,31218.963933618765,8.486938666666788,477.20010010777696,220.45826563393493,205.01991041341947,1,9,LP
rolling_scenario_mean14,development,2025-02-16,18,3,keep_previous,11,18592.313886750897,18506.212974573293,18850.616623283702,0.0,0.0,0.0,0.0,0,9,LP
rolling_scenario_mean14,development,2025-02-17,0,0,margin,10,55776.89403746202,55711.31521602176,55973.630501782805,0.0,0.0,0.0,0.0,0,9,LP
rolling_scenario_mean14,development,2025-02-17,6,1,margin,11,46075.23563344455,46001.818095945346,46295.48824594217,220.41672044888935,6589.113662610425,2664.29864829889,2546.7647608739503,1,9,LP
rolling_scenario_mean14,development,2025-02-17,12,2,margin,11,31701.45719933865,31624.022658788555,31933.760820988933,0.0,3796.934040303488,1368.5529817879965,1282.6670899660521,1,9,LP
rolling_scenario_mean14,development,2025-02-17,18,3,keep_previous,11,18612.771763963192,18535.391941282658,18844.911232004793,0.0,0.0,0.0,0.0,0,9,LP
rolling_scenario_mean14,development,2025-02-18,0,0,margin,10,49676.68815738562,49372.365478092586,50589.656195264746,0.0,0.0,0.0,0.0,0,9,LP
rolling_scenario_mean14,development,2025-02-18,6,1,residual_5,11,43076.17076541493,42894.66298479448,43620.69410727627,1150.1265469666705,218.94335534156477,381.42924125258696,360.6621938488709,1,9,LP
rolling_scenario_mean14,development,2025-02-18,12,2,point,11,31419.144858839023,31248.172508886757,31932.061908695818,187.21758773662606,1726.559658022704,611.8134372743925,553.1655613725268,1,9,LP
rolling_scenario_mean14,development,2025-02-18,18,3,point,11,18566.206800275442,18496.140782304356,18776.404854188702,233.09407251663004,0.0,147.6085773532708,139.2224720920454,1,9,LP
rolling_scenario_mean14,development,2025-02-19,0,0,margin,10,49816.45064120613,49763.62771232441,49974.91942785131,0.0,0.0,0.0,0.0,0,9,LP
rolling_scenario_mean14,development,2025-02-19,6,1,keep_previous,11,42367.43812844127,42291.494709766186,42595.2683844665,0.0,0.0,0.0,0.0,0,9,LP
rolling_scenario_mean14,development,2025-02-19,12,2,point,11,31600.943004997178,31343.54020172423,32373.151414816013,31.501802591222372,30.56188533333352,19.33041012799486,18.332863525746546,1,9,LP
rolling_scenario_mean14,development,2025-02-19,18,3,margin,10,18422.726988636525,18353.825502780233,18629.431446205406,0.0,0.0,0.0,0.0,0,9,LP
rolling_scenario_mean14,development,2025-02-20,0,0,margin,10,51640.238988703,51588.17411158336,51796.433620061944,0.0,0.0,0.0,0.0,0,9,LP
rolling_scenario_mean14,development,2025-02-20,6,1,margin,11,44843.62109638998,44756.04461653927,45106.35053594212,1074.3456468504855,2434.5796481355546,1410.539752231799,1305.711476285243,1,9,LP
rolling_scenario_mean14,development,2025-02-20,12,2,margin,11,31162.926418450148,31097.257944440487,31359.93184047913,0.4647162222221368,2568.760740294929,993.3918636864366,948.2584104403873,1,9,LP
rolling_scenario_mean14,development,2025-02-20,18,3,margin,10,18448.051650357404,18381.82185712011,18646.741030069286,0.0,0.0,0.0,0.0,0,9,LP
rolling_scenario_mean14,development,2025-02-21,0,0,margin,10,17919.864000331694,17866.805779477567,18079.03866289408,0.0,0.0,0.0,0.0,0,9,MILP
rolling_scenario_mean14,development,2025-02-21,6,1,keep_previous,11,12669.13902595016,12604.713029478398,12862.417015365445,0.0,0.0,0.0,0.0,0,9,MILP
rolling_scenario_mean14,development,2025-02-21,12,2,keep_previous,11,13496.158054453637,13445.448550233363,13648.28656711446,0.0,0.0,0.0,0.0,0,9,MILP
rolling_scenario_mean14,development,2025-02-21,18,3,residual_6,11,11095.973820087918,11029.86708965026,11294.294011400889,12.168718916665114,11.335807333333548,6.49280005343401,7.774242170323646,1,9,LP
rolling_scenario_mean14,development,2025-02-22,0,0,margin,10,18251.173788398515,18208.27376912593,18379.873846216262,0.0,0.0,0.0,0.0,0,9,MILP
rolling_scenario_mean14,development,2025-02-22,6,1,keep_previous,11,12770.715495331151,12704.145152886773,12970.426522664286,0.0,0.0,0.0,0.0,0,9,MILP
rolling_scenario_mean14,development,2025-02-22,12,2,margin,11,13117.468092711,13063.99603933522,13277.884252838343,47.151353655558125,291.9022008847742,92.86239327836259,126.2507783115617,1,9,MILP
rolling_scenario_mean14,development,2025-02-22,18,3,keep_previous,11,11165.615437010694,11105.086442785447,11347.202419686435,0.0,0.0,0.0,0.0,0,9,LP
rolling_scenario_mean14,development,2025-02-23,0,0,margin,10,50689.70529665818,50586.95490904005,50997.9564595126,0.0,0.0,0.0,0.0,0,9,LP
rolling_scenario_mean14,development,2025-02-23,6,1,keep_previous,11,43781.73371995378,43499.859663832336,44627.35588831812,0.0,0.0,0.0,0.0,0,9,LP
rolling_scenario_mean14,development,2025-02-23,12,2,margin,11,31007.20627877104,30952.640503844053,31170.903603551997,8.439772263333225,3536.329617796706,1463.623814236419,1320.339458752168,1,9,LP
rolling_scenario_mean14,development,2025-02-23,18,3,margin,10,18377.89033646021,18320.980158780912,18548.620869498092,0.0,0.0,0.0,0.0,0,9,LP
rolling_scenario_mean14,development,2025-02-24,0,0,margin,10,48840.558842949824,48726.02845281732,49184.150013347324,0.0,0.0,0.0,0.0,0,9,LP+MILP
rolling_scenario_mean14,development,2025-02-24,6,1,residual_3,11,41356.50285724747,41296.50599585837,41536.49344141476,70.62721011111114,316.88438934704755,190.24528332587204,178.61331766754714,1,9,LP
rolling_scenario_mean14,development,2025-02-24,12,2,margin,11,31239.92543843326,31188.07634902939,31395.472706644865,245.4836232359362,3125.227184942387,1250.3335714041239,1157.4703987561936,1,9,LP
rolling_scenario_mean14,development,2025-02-24,18,3,margin,10,18449.022730981047,18395.427094613762,18609.809640082898,0.0,0.0,0.0,0.0,0,9,LP
rolling_scenario_mean14,development,2025-02-25,0,0,margin,10,50462.318901984865,50377.578483840196,50716.54015641887,0.0,0.0,0.0,0.0,0,9,LP
rolling_scenario_mean14,development,2025-02-25,6,1,margin,11,41773.16814775867,41685.63250304374,42035.77508190346,211.19982522222358,3749.77762375111,1599.429893513934,1564.6068398901584,1,9,LP
rolling_scenario_mean14,development,2025-02-25,12,2,margin,11,30307.06798861392,30258.40385867055,30453.060378444017,12.433439333333354,4829.843928888887,1647.894413663825,1565.912549153474,1,9,LP
rolling_scenario_mean14,development,2025-02-25,18,3,margin,10,18359.224816198468,18309.919874810897,18507.139640361172,0.0,0.0,0.0,0.0,0,9,LP
rolling_scenario_mean14,development,2025-02-26,0,0,margin,10,45332.51822491882,45248.99124178135,45583.099174331255,0.0,0.0,0.0,0.0,0,9,LP
rolling_scenario_mean14,development,2025-02-26,6,1,keep_previous,11,38474.03939714515,38037.22864704812,39784.471647436236,0.0,0.0,0.0,0.0,0,9,LP
rolling_scenario_mean14,development,2025-02-26,12,2,point,11,30760.71631741052,30459.540566069267,31664.243571434272,861.8866387860114,198.36065333333295,367.4382056681393,333.12073678360974,1,9,LP
rolling_scenario_mean14,development,2025-02-26,18,3,keep_previous,11,18548.197151146698,18502.403698376103,18685.577509458475,0.0,0.0,0.0,0.0,0,9,LP
rolling_scenario_mean14,development,2025-02-27,0,0,margin,10,46783.61708207754,46584.96670329412,47379.56821842779,0.0,0.0,0.0,0.0,0,9,LP
rolling_scenario_mean14,development,2025-02-27,6,1,margin,11,39274.08787809735,39194.54507633084,39512.716283396876,661.0406821915866,1577.577781444445,708.2053703153783,694.0046215492082,1,9,LP
rolling_scenario_mean14,development,2025-02-27,12,2,margin,11,29161.987944890876,29121.000411456673,29284.950545193486,46.76914921444609,278.9117549300279,110.04323694119567,107.6295742832435,1,9,LP
rolling_scenario_mean14,development,2025-02-27,18,3,margin,10,18437.83346749111,18396.06494609767,18563.139031671428,0.0,0.0,0.0,0.0,0,9,LP
rolling_scenario_mean14,development,2025-02-28,0,0,margin,10,17584.507350542728,17552.299658829434,17681.13042568261,0.0,0.0,0.0,0.0,0,9,MILP
rolling_scenario_mean14,development,2025-02-28,6,1,margin,11,11661.620456109587,11625.946846463537,11768.641285047735,6.821210263296962e-13,519.3110648888864,173.40818905559405,236.30694436150415,1,9,MILP
rolling_scenario_mean14,development,2025-02-28,12,2,keep_previous,11,13713.743167555793,13667.221338578536,13853.308654487566,0.0,0.0,0.0,0.0,0,9,MILP
rolling_scenario_mean14,development,2025-02-28,18,3,keep_previous,11,11026.311607165791,10981.918601429286,11159.490624375308,0.0,0.0,0.0,0.0,0,9,LP
rolling_scenario_mean14,development,2025-03-01,0,0,margin,10,19833.408372499904,19809.14313046543,19906.204098603324,0.0,0.0,0.0,0.0,0,9,LP+MILP
rolling_scenario_mean14,development,2025-03-01,6,1,margin,11,14743.187669127077,14713.171998037911,14833.234682394574,2.6716406864579767e-12,1065.0260126721519,228.25477699661047,338.79527331179463,1,9,MILP
rolling_scenario_mean14,development,2025-03-01,12,2,margin,11,15072.456748464307,15042.731254178107,15161.633231322907,5.534836666667275,89.28872466666809,32.370785111362004,43.12807547694499,1,9,LP
rolling_scenario_mean14,development,2025-03-01,18,3,keep_previous,11,11132.992406670674,11094.488115712666,11248.505279544697,0.0,0.0,0.0,0.0,0,9,LP
rolling_scenario_mean14,development,2025-03-02,0,0,margin,10,52122.22643644516,51922.96113637722,52720.02233664899,0.0,0.0,0.0,0.0,0,9,LP
rolling_scenario_mean14,development,2025-03-02,6,1,margin,11,45823.605870645726,45761.46455514134,46010.029817158895,1307.1502944238687,1373.3163384033355,1244.8254462519271,1142.8853954793647,1,9,LP
rolling_scenario_mean14,development,2025-03-02,12,2,margin,11,34202.346211161755,34171.81202782554,34293.94876117041,77.35839533333456,3621.950715549861,1374.1995847298435,1123.862819132214,1,9,LP
rolling_scenario_mean14,development,2025-03-02,18,3,margin,10,18389.10204054471,18357.548000947754,18483.764159335573,0.0,0.0,0.0,0.0,0,9,LP
rolling_scenario_mean14,development,2025-03-03,0,0,margin,10,53822.905267155715,53422.01985601986,55025.56150056328,0.0,0.0,0.0,0.0,0,9,LP
rolling_scenario_mean14,development,2025-03-03,6,1,margin,11,45134.79824243198,45067.63581068401,45336.28553767587,1124.1485381111106,7041.985284307275,3307.7614709285053,2898.8577361953776,1,9,LP
rolling_scenario_mean14,development,2025-03-03,12,2,margin,11,31457.251598544004,31426.3837238913,31549.855222502116,3.561497444443944,918.782365965701,362.12260892865294,314.51093239704244,1,9,LP
rolling_scenario_mean14,development,2025-03-03,18,3,margin,10,18465.991279915892,18434.568224744224,18560.260445430897,0.0,0.0,0.0,0.0,0,9,LP
rolling_scenario_mean14,development,2025-03-04,0,0,margin,10,47493.25231539924,47235.10250896975,48267.7017346877,0.0,0.0,0.0,0.0,0,9,LP
rolling_scenario_mean14,development,2025-03-04,6,1,keep_previous,11,40692.721804469256,40309.294470179695,41843.003807337926,0.0,0.0,0.0,0.0,0,9,LP
rolling_scenario_mean14,development,2025-03-04,12,2,margin,11,30014.039636733858,29985.804749460676,30098.7442985534,2.8912296666663906,1670.3730940137116,602.5257214529101,528.1400410708518,1,9,LP
rolling_scenario_mean14,development,2025-03-04,18,3,margin,10,18418.705891865488,18390.452357822636,18503.466493994034,0.0,0.0,0.0,0.0,0,9,LP
rolling_scenario_mean14,development,2025-03-05,0,0,margin,10,49737.12842431773,49507.82191409102,50425.047954997855,0.0,0.0,0.0,0.0,0,9,LP
rolling_scenario_mean14,development,2025-03-05,6,1,margin,11,41113.30867901379,41064.134439624824,41260.83139718068,195.04642733333378,3492.861069501582,1439.0310229042927,1334.2970779678808,1,9,LP
rolling_scenario_mean14,development,2025-03-05,12,2,margin,11,30507.898401375154,30471.646809075013,30616.65317827558,0.0,4925.151307318243,1712.3789559572583,1553.2344422517313,1,9,LP
rolling_scenario_mean14,development,2025-03-05,18,3,keep_previous,11,18669.414548494613,18646.5712862969,18737.944335087755,0.0,0.0,0.0,0.0,0,9,LP
rolling_scenario_mean14,development,2025-03-06,0,0,margin,10,46160.08798059637,45994.92517138852,46655.57640821994,0.0,0.0,0.0,0.0,0,9,LP
rolling_scenario_mean14,development,2025-03-06,6,1,margin,11,38775.68048571019,38739.79274501651,38883.34370779123,400.89641373889015,1270.8489097407482,675.2022340219964,612.9531213709213,1,9,LP
rolling_scenario_mean14,development,2025-03-06,12,2,margin,11,30680.503456703038,30648.012981611144,30777.974881978727,51.577168333333134,2160.143566337444,654.1734344694718,606.7459902217762,1,9,LP
rolling_scenario_mean14,development,2025-03-06,18,3,keep_previous,11,18727.693843397963,18705.41253208431,18794.537777338926,0.0,0.0,0.0,0.0,0,9,LP
rolling_scenario_mean14,development,2025-03-07,0,0,margin,10,18270.383975589233,17888.870819665386,19414.923443360778,0.0,0.0,0.0,0.0,0,9,MILP
rolling_scenario_mean14,development,2025-03-07,6,1,margin,11,12378.78036486555,12343.590872427834,12484.3488421787,5.684341886080802e-14,1072.0462596941006,322.65357937722877,429.61793229434244,1,9,MILP
rolling_scenario_mean14,development,2025-03-07,12,2,margin,11,14723.400412270814,14689.583895847392,14824.849961541076,3.288842888889235,94.5612168888913,32.52026554685105,43.13034296594378,1,9,LP
rolling_scenario_mean14,development,2025-03-07,18,3,keep_previous,11,11065.469723544627,11048.771927057449,11115.563113006165,0.0,0.0,0.0,0.0,0,9,LP
rolling_scenario_mean14,development,2025-03-08,0,0,margin,10,16722.570096461932,16369.970902304256,17780.367678934952,0.0,0.0,0.0,0.0,0,9,MILP
rolling_scenario_mean14,development,2025-03-08,6,1,margin,11,10868.087797329506,10835.834263407241,10964.8483990963,1.1368683772161603e-13,32.195231936902246,11.222654510221288,15.505687388833376,1,9,MILP
rolling_scenario_mean14,development,2025-03-08,12,2,keep_previous,11,14521.967801072995,14492.044681692509,14611.737159214452,0.0,0.0,0.0,0.0,0,9,LP
rolling_scenario_mean14,development,2025-03-08,18,3,keep_previous,11,11123.033498210218,11109.683980770078,11163.082050530636,0.0,0.0,0.0,0.0,0,9,LP
rolling_scenario_mean14,development,2025-03-09,0,0,margin,10,46913.55935628215,46416.84421078427,48403.704792775796,0.0,0.0,0.0,0.0,0,9,LP
rolling_scenario_mean14,development,2025-03-09,6,1,margin,11,36840.83981314288,36826.98740965206,36882.39702361534,0.0,7557.581935900547,2541.6062288933454,2418.809530945669,1,9,LP
rolling_scenario_mean14,development,2025-03-09,12,2,margin,11,28863.422551711617,28850.38371222052,28902.539070184917,1584.3497356107573,1424.7821063840868,933.847002736496,916.2213950598507,1,9,LP+MILP
rolling_scenario_mean14,development,2025-03-09,18,3,margin,10,18373.15060745015,18359.959137994134,18412.72501581819,0.0,0.0,0.0,0.0,0,9,LP
rolling_scenario_mean14,development,2025-03-10,0,0,margin,10,44506.9856413277,44013.203505965386,45988.33204741463,0.0,0.0,0.0,0.0,0,9,LP
rolling_scenario_mean14,development,2025-03-10,6,1,margin,11,38360.17006659668,38338.14467079134,38426.24625401267,1255.81448528978,36.794494222222056,513.7534288993545,497.68404981569813,1,9,LP
rolling_scenario_mean14,development,2025-03-10,12,2,margin,11,29345.023529304177,29326.112998143246,29401.755122786974,5.481202192222895,1067.3306743676217,401.51522335290707,331.30364858478674,1,9,LP
rolling_scenario_mean14,development,2025-03-10,18,3,margin,10,18432.847739182835,18412.001766233712,18495.38565803021,0.0,0.0,0.0,0.0,0,9,LP
rolling_scenario_mean14,development,2025-03-11,0,0,margin,10,39606.22056836351,39161.5039389027,40940.370456745935,0.0,0.0,0.0,0.0,0,9,LP+MILP
rolling_scenario_mean14,development,2025-03-11,6,1,residual_6,11,40903.05308021206,39967.929550067805,43708.42367064484,8004.462849079886,248.22855424691375,2693.237325910461,2407.1052171383462,1,9,LP
rolling_scenario_mean14,development,2025-03-11,12,2,margin,11,29736.561203618592,29709.751294910693,29816.990929742282,248.22855424691397,2763.795868538041,1193.1663725750632,1073.5569414316426,1,9,LP
rolling_scenario_mean14,development,2025-03-11,18,3,margin,10,18401.949689437755,18373.871444840144,18486.184423230592,0.0,2.2737367544323206e-13,1.1099245966761372e-13,1.0878287477161004e-13,0,9,LP
rolling_scenario_mean14,development,2025-03-12,0,0,residual_7,10,48217.67087416292,47840.42071507804,49349.42135141756,0.0,0.0,0.0,0.0,0,9,LP
rolling_scenario_mean14,development,2025-03-12,6,1,margin,11,37466.8152826165,37253.82008201629,38105.800884417156,776.8505338600012,10992.125900430512,4101.500215664586,3886.9646591620676,1,9,LP
rolling_scenario_mean14,development,2025-03-12,12,2,margin,11,28930.24688663295,28902.315216369214,29014.04189742417,1155.9065150285176,869.1623721714641,709.7951006700916,648.8163854809242,1,9,LP
rolling_scenario_mean14,development,2025-03-12,18,3,margin,10,18447.48271902436,18417.587721108095,18537.167712773145,0.0,1.1368683772161603e-13,5.250626600172836e-14,5.097839610763393e-14,0,9,LP
