plan_kwh,load_kwh,pv_kwh,e_start,e_end,charge_kwh,discharge_kwh,pv_load_kwh,grid_load_kwh,pv_charge_kwh,grid_charge_kwh,pv_spill_kwh,paid_grid_spill_kwh,emergency_kwh,slot,price,plan_cost,emergency_cost,total_cost,strategy,date,forecast_load_kwh,forecast_pv_kwh,margin_kwh,history_last_date
0.0,615.7768833333333,0.0,1200.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,615.7768833333333,10,0.4333,0.0,1334.0806177416666,1334.0806177416666,warmup,2025-01-01,,,0.0,NONE
0.0,677.4549999999999,0.0,1200.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,677.4549999999999,11,0.4311,0.0,1460.2542525,1460.2542525,warmup,2025-01-01,,,0.0,NONE
0.0,635.1118333333333,0.0,1200.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,635.1118333333333,12,0.4293,0.0,1363.2675502499999,1363.2675502499999,warmup,2025-01-01,,,0.0,NONE
0.0,640.8249166666667,0.0,1200.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,640.8249166666667,13,0.4324,0.0,1385.4634698333334,1385.4634698333334,warmup,2025-01-01,,,0.0,NONE
0.0,705.77,0.0,1200.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,705.77,14,0.4367,0.0,1541.048795,1541.048795,warmup,2025-01-01,,,0.0,NONE
0.0,684.9959166666665,0.0,1200.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,684.9959166666665,15,0.4348,0.0,1489.181122833333,1489.181122833333,warmup,2025-01-01,,,0.0,NONE
0.0,666.1490833333332,0.0,1200.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,666.1490833333332,16,0.4335,0.0,1443.8781381249999,1443.8781381249999,warmup,2025-01-01,,,0.0,NONE
0.0,683.6983333333333,0.0,1200.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,683.6983333333333,17,0.4357,0.0,1489.4368191666663,1489.4368191666663,warmup,2025-01-01,,,0.0,NONE
0.0,681.0096166666666,0.0,1200.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,681.0096166666666,18,0.4374,0.0,1489.3680316500001,1489.3680316500001,warmup,2025-01-01,,,0.0,NONE
0.0,688.9604333333333,0.0,1200.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,688.9604333333333,19,0.4371,0.0,1505.7230270499997,1505.7230270499997,warmup,2025-01-01,,,0.0,NONE
0.0,696.53,0.0,1200.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,696.53,20,0.4356,0.0,1517.04234,1517.04234,warmup,2025-01-01,,,0.0,NONE
0.0,658.8951833333333,0.0,1200.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,658.8951833333333,21,0.4353,0.0,1434.085366525,1434.085366525,warmup,2025-01-01,,,0.0,NONE
0.0,651.7916,0.0,1200.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,651.7916,22,0.436,0.0,1420.905688,1420.905688,warmup,2025-01-01,,,0.0,NONE
0.0,683.2183333333334,0.0,1200.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,683.2183333333334,23,0.4378,0.0,1495.5649316666668,1495.5649316666668,warmup,2025-01-01,,,0.0,NONE
0.0,687.3103833333332,0.0,1200.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.3103833333332,24,0.4401,0.0,1512.4264985249997,1512.4264985249997,warmup,2025-01-01,,,0.0,NONE
0.0,694.8344666666667,0.0,1200.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,694.8344666666667,25,0.4389,0.0,1524.8142371000001,1524.8142371000001,warmup,2025-01-01,,,0.0,NONE
0.0,710.04,0.0,1200.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,710.04,26,0.4364,0.0,1549.3072799999998,1549.3072799999998,warmup,2025-01-01,,,0.0,NONE
0.0,702.8703666666667,0.0,1200.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,702.8703666666667,27,0.4393,0.0,1543.8547603833335,1543.8547603833335,warmup,2025-01-01,,,0.0,NONE
0.0,710.3095,0.0,1200.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,710.3095,28,0.4422,0.0,1570.4943044999998,1570.4943044999998,warmup,2025-01-01,,,0.0,NONE
0.0,723.6499999999999,0.0,1200.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,723.6499999999999,29,0.4395,0.0,1590.2208749999995,1590.2208749999995,warmup,2025-01-01,,,0.0,NONE
0.0,701.3701333333333,0.00034999999999999994,1200.0,1200.0,0.0,0.0,0.00034999999999999994,0.0,0.0,0.0,0.0,0.0,701.3697833333333,30,0.4333,0.0,1519.5176355916667,1519.5176355916667,warmup,2025-01-01,,,0.0,NONE
0.0,717.02055,0.0,1200.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717.02055,31,0.4439,0.0,1591.427110725,1591.427110725,warmup,2025-01-01,,,0.0,NONE
0.0,742.765,0.0,1200.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,742.765,32,0.4301,0.0,1597.3161325,1597.3161325,warmup,2025-01-01,,,0.0,NONE
0.0,691.4395,0.004983333333333333,1200.0,1200.0,0.0,0.0,0.004983333333333333,0.0,0.0,0.0,0.0,0.0,691.4345166666666,33,0.3713,0.0,1283.6481801916666,1283.6481801916666,warmup,2025-01-01,,,0.0,NONE
0.0,749.6888833333334,0.0,1200.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,749.6888833333334,34,0.5708,0.0,2139.6120730333337,2139.6120730333337,warmup,2025-01-01,,,0.0,NONE
0.0,894.8966666666666,0.0,1200.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,894.8966666666666,35,0.9099,0.0,4071.332385,4071.332385,warmup,2025-01-01,,,0.0,NONE
0.0,906.8165166666665,0.06948333333333333,1200.0,1200.0,0.0,0.0,0.06948333333333333,0.0,0.0,0.0,0.0,0.0,906.7470333333332,36,0.9368,0.0,4247.203104133333,4247.203104133333,warmup,2025-01-01,,,0.0,NONE
0.0,886.1488333333333,0.0,1200.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,886.1488333333333,37,0.8758,0.0,3880.4457411666667,3880.4457411666667,warmup,2025-01-01,,,0.0,NONE
0.0,899.9699999999999,0.0,1200.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,899.9699999999999,38,0.8759,0.0,3941.4186149999996,3941.4186149999996,warmup,2025-01-01,,,0.0,NONE
0.0,907.9001166666667,0.9676999999999999,1200.0,1200.0,0.0,0.0,0.9676999999999999,0.0,0.0,0.0,0.0,0.0,906.9324166666667,39,0.8601,0.0,3900.2628578749996,3900.2628578749996,warmup,2025-01-01,,,0.0,NONE
0.0,907.4001666666666,0.0,1200.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,907.4001666666666,40,0.8442,0.0,3830.1361034999995,3830.1361034999995,warmup,2025-01-01,,,0.0,NONE
0.0,905.605,0.5125,1200.0,1200.0,0.0,0.0,0.5125,0.0,0.0,0.0,0.0,0.0,905.0925,41,0.8334,0.0,3771.5204474999996,3771.5204474999996,warmup,2025-01-01,,,0.0,NONE
0.0,908.2136333333333,29.299216666666666,1200.0,1200.0,0.0,0.0,29.299216666666666,0.0,0.0,0.0,0.0,0.0,878.9144166666666,42,0.8092,0.0,3556.0877298333335,3556.0877298333335,warmup,2025-01-01,,,0.0,NONE
0.0,918.3340333333333,70.24933333333333,1200.0,1200.0,0.0,0.0,70.24933333333333,0.0,0.0,0.0,0.0,0.0,848.0847,43,0.7972,0.0,3380.4656142000003,3380.4656142000003,warmup,2025-01-01,,,0.0,NONE
0.0,912.6666666666666,112.85,1200.0,1200.0,0.0,0.0,112.85,0.0,0.0,0.0,0.0,0.0,799.8166666666666,44,0.7644,0.0,3056.8993,3056.8993,warmup,2025-01-01,,,0.0,NONE
0.0,888.2369166666667,158.4685333333333,1200.0,1200.0,0.0,0.0,158.4685333333333,0.0,0.0,0.0,0.0,0.0,729.7683833333334,45,0.6899,0.0,2517.336038308333,2517.336038308333,warmup,2025-01-01,,,0.0,NONE
0.0,1014.0193833333333,209.26175,1200.0,1200.0,0.0,0.0,209.26175,0.0,0.0,0.0,0.0,0.0,804.7576333333333,46,0.86,0.0,3460.4578233333327,3460.4578233333327,warmup,2025-01-01,,,0.0,NONE
0.0,1219.3333333333333,265.38124999999997,1200.0,1200.0,0.0,0.0,265.38124999999997,0.0,0.0,0.0,0.0,0.0,953.9520833333333,47,1.1617,0.0,5541.030676041666,5541.030676041666,warmup,2025-01-01,,,0.0,NONE
0.0,1244.9157833333334,322.92019999999997,1200.0,1200.0,0.0,0.0,322.92019999999997,0.0,0.0,0.0,0.0,0.0,921.9955833333333,48,1.1683,0.0,5385.837200041667,5385.837200041667,warmup,2025-01-01,,,0.0,NONE
0.0,1204.2818333333332,370.85434999999995,1200.0,1200.0,0.0,0.0,370.85434999999995,0.0,0.0,0.0,0.0,0.0,833.4274833333333,49,1.0956,0.0,4565.5157537,4565.5157537,warmup,2025-01-01,,,0.0,NONE
0.0,1202.6883333333333,415.01875,1200.0,1200.0,0.0,0.0,415.01875,0.0,0.0,0.0,0.0,0.0,787.6695833333333,50,1.0849,0.0,4272.713654791667,4272.713654791667,warmup,2025-01-01,,,0.0,NONE
0.0,1226.9500666666665,471.05243333333334,1200.0,1200.0,0.0,0.0,471.05243333333334,0.0,0.0,0.0,0.0,0.0,755.8976333333333,51,1.061,0.0,4010.0369448333327,4010.0369448333327,warmup,2025-01-01,,,0.0,NONE
0.0,1212.5855,520.35525,1200.0,1200.0,0.0,0.0,520.35525,0.0,0.0,0.0,0.0,0.0,692.23025,52,1.043,0.0,3609.9807537499996,3609.9807537499996,warmup,2025-01-01,,,0.0,NONE
0.0,1179.5483333333332,558.49375,1200.0,1200.0,0.0,0.0,558.49375,0.0,0.0,0.0,0.0,0.0,621.0545833333332,53,1.036,0.0,3217.0627416666657,3217.0627416666657,warmup,2025-01-01,,,0.0,NONE
0.0,1203.6460333333332,600.2996166666667,1200.0,1200.0,0.0,0.0,600.2996166666667,0.0,0.0,0.0,0.0,0.0,603.3464166666665,54,1.0147,0.0,3061.078044958332,3061.078044958332,warmup,2025-01-01,,,0.0,NONE
0.0,1204.9252166666665,645.9392,1200.0,1200.0,0.0,0.0,645.9392,0.0,0.0,0.0,0.0,0.0,558.9860166666665,55,0.9922,0.0,2773.1296286833326,2773.1296286833326,warmup,2025-01-01,,,0.0,NONE
0.0,1183.2216666666666,691.6374999999999,1200.0,1200.0,0.0,0.0,691.6374999999999,0.0,0.0,0.0,0.0,0.0,491.58416666666665,56,0.97,0.0,2384.183208333333,2384.183208333333,warmup,2025-01-01,,,0.0,NONE
0.0,1216.1920166666666,733.9133666666667,1200.0,1200.0,0.0,0.0,733.9133666666667,0.0,0.0,0.0,0.0,0.0,482.27864999999997,57,0.9422,0.0,2272.01472015,2272.01472015,warmup,2025-01-01,,,0.0,NONE
0.0,1218.8626,770.79175,1200.0,1200.0,0.0,0.0,770.79175,0.0,0.0,0.0,0.0,0.0,448.07084999999995,58,0.9569,0.0,2143.7949818249995,2143.7949818249995,warmup,2025-01-01,,,0.0,NONE
0.0,1183.2433333333333,806.1062499999999,1200.0,1200.0,0.0,0.0,806.1062499999999,0.0,0.0,0.0,0.0,0.0,377.1370833333334,59,0.9977,0.0,1881.3483402083339,1881.3483402083339,warmup,2025-01-01,,,0.0,NONE
0.0,1187.5868999999998,846.7837333333333,1200.0,1200.0,0.0,0.0,846.7837333333333,0.0,0.0,0.0,0.0,0.0,340.80316666666647,60,0.9919,0.0,1690.2133050833324,1690.2133050833324,warmup,2025-01-01,,,0.0,NONE
0.0,1182.7184,889.7921333333334,1200.0,1200.0,0.0,0.0,889.7921333333334,0.0,0.0,0.0,0.0,0.0,292.9262666666666,61,0.9588,0.0,1404.2885223999997,1404.2885223999997,warmup,2025-01-01,,,0.0,NONE
0.0,1164.3616666666667,915.7875,1200.0,1200.0,0.0,0.0,915.7875,0.0,0.0,0.0,0.0,0.0,248.57416666666666,62,0.9549,0.0,1186.8173587499998,1186.8173587499998,warmup,2025-01-01,,,0.0,NONE
0.0,1183.1616999999999,906.3296333333333,1200.0,1200.0,0.0,0.0,906.3296333333333,0.0,0.0,0.0,0.0,0.0,276.8320666666666,63,0.9839,0.0,1361.8753519666664,1361.8753519666664,warmup,2025-01-01,,,0.0,NONE
0.0,1198.9988333333333,899.3687666666666,1200.0,1200.0,0.0,0.0,899.3687666666666,0.0,0.0,0.0,0.0,0.0,299.6300666666667,64,0.799,0.0,1197.0221163333335,1197.0221163333335,warmup,2025-01-01,,,0.0,NONE
0.0,1189.1966666666667,895.35,1200.0,1200.0,0.0,0.0,895.35,0.0,0.0,0.0,0.0,0.0,293.8466666666667,65,0.5025,0.0,738.28975,738.28975,warmup,2025-01-01,,,0.0,NONE
0.0,1173.8245,863.8287,1200.0,1200.0,0.0,0.0,863.8287,0.0,0.0,0.0,0.0,0.0,309.9957999999999,66,0.4662,0.0,722.6002097999998,722.6002097999998,warmup,2025-01-01,,,0.0,NONE
0.0,1178.1945833333332,855.2501833333333,1200.0,1200.0,0.0,0.0,855.2501833333333,0.0,0.0,0.0,0.0,0.0,322.94439999999986,67,0.5007,0.0,808.4913053999998,808.4913053999998,warmup,2025-01-01,,,0.0,NONE
0.0,1188.195,882.4624999999999,1200.0,1200.0,0.0,0.0,882.4624999999999,0.0,0.0,0.0,0.0,0.0,305.7325000000001,68,0.4827,0.0,737.8853887500002,737.8853887500002,warmup,2025-01-01,,,0.0,NONE
0.0,1161.8398833333333,905.7907333333333,1200.0,1200.0,0.0,0.0,905.7907333333333,0.0,0.0,0.0,0.0,0.0,256.04915000000005,69,0.4785,0.0,612.5975913750001,612.5975913750001,warmup,2025-01-01,,,0.0,NONE
0.0,1108.0822833333332,909.2501833333333,1200.0,1200.0,0.0,0.0,909.2501833333333,0.0,0.0,0.0,0.0,0.0,198.83209999999985,70,0.4662,0.0,463.47762509999967,463.47762509999967,warmup,2025-01-01,,,0.0,NONE
0.0,1078.5483333333332,888.6187499999999,1200.0,1200.0,0.0,0.0,888.6187499999999,0.0,0.0,0.0,0.0,0.0,189.9295833333333,71,0.4432,0.0,420.88395666666656,420.88395666666656,warmup,2025-01-01,,,0.0,NONE
0.0,1113.5309166666666,854.4422166666666,1200.0,1200.0,0.0,0.0,854.4422166666666,0.0,0.0,0.0,0.0,0.0,259.0887,72,0.4411,0.0,571.42012785,571.42012785,warmup,2025-01-01,,,0.0,NONE
0.0,1097.5452333333333,853.0815833333332,1200.0,1200.0,0.0,0.0,853.0815833333332,0.0,0.0,0.0,0.0,0.0,244.46365000000003,73,0.4551,0.0,556.2770355750001,556.2770355750001,warmup,2025-01-01,,,0.0,NONE
0.0,1047.3283333333334,883.7624999999999,1200.0,1200.0,0.0,0.0,883.7624999999999,0.0,0.0,0.0,0.0,0.0,163.56583333333344,74,0.4463,0.0,364.9971570833336,364.9971570833336,warmup,2025-01-01,,,0.0,NONE
0.0,1091.3220333333334,899.9666,1200.0,1200.0,0.0,0.0,899.9666,0.0,0.0,0.0,0.0,0.0,191.3554333333334,75,0.4113,0.0,393.52244865000006,393.52244865000006,warmup,2025-01-01,,,0.0,NONE
0.0,1124.61315,896.2747999999999,1200.0,1200.0,0.0,0.0,896.2747999999999,0.0,0.0,0.0,0.0,0.0,228.33835,76,0.5682,0.0,648.70925235,648.70925235,warmup,2025-01-01,,,0.0,NONE
0.0,1113.7266666666665,876.96875,1200.0,1200.0,0.0,0.0,876.96875,0.0,0.0,0.0,0.0,0.0,236.75791666666646,77,0.8279,0.0,980.0593960416658,980.0593960416658,warmup,2025-01-01,,,0.0,NONE
0.0,1131.8271333333332,849.6027333333333,1200.0,1200.0,0.0,0.0,849.6027333333333,0.0,0.0,0.0,0.0,0.0,282.22439999999995,78,0.8636,0.0,1218.6449592,1218.6449592,warmup,2025-01-01,,,0.0,NONE
0.0,1152.6694166666666,838.2422333333334,1200.0,1200.0,0.0,0.0,838.2422333333334,0.0,0.0,0.0,0.0,0.0,314.42718333333323,79,0.8416,0.0,1323.1095874666662,1323.1095874666662,warmup,2025-01-01,,,0.0,NONE
0.0,1139.1299999999999,840.64375,1200.0,1200.0,0.0,0.0,840.64375,0.0,0.0,0.0,0.0,0.0,298.4862499999999,80,0.8618,0.0,1286.1772512499997,1286.1772512499997,warmup,2025-01-01,,,0.0,NONE
0.0,1091.0875333333333,828.9307333333333,1200.0,1200.0,0.0,0.0,828.9307333333333,0.0,0.0,0.0,0.0,0.0,262.1568000000001,81,0.8623,0.0,1130.2890432000004,1130.2890432000004,warmup,2025-01-01,,,0.0,NONE
0.0,1089.9788333333331,794.9587333333334,1200.0,1200.0,0.0,0.0,794.9587333333334,0.0,0.0,0.0,0.0,0.0,295.02009999999973,82,0.9026,0.0,1331.4257112999987,1331.4257112999987,warmup,2025-01-01,,,0.0,NONE
0.0,1128.995,746.4375,1200.0,1200.0,0.0,0.0,746.4375,0.0,0.0,0.0,0.0,0.0,382.5574999999999,83,0.9754,0.0,1865.7329274999997,1865.7329274999997,warmup,2025-01-01,,,0.0,NONE
0.0,1122.80195,701.56515,1200.0,1200.0,0.0,0.0,701.56515,0.0,0.0,0.0,0.0,0.0,421.2368,84,1.0002,0.0,2106.6052368,2106.6052368,warmup,2025-01-01,,,0.0,NONE
0.0,1103.8968833333333,676.7385999999999,1200.0,1200.0,0.0,0.0,676.7385999999999,0.0,0.0,0.0,0.0,0.0,427.15828333333343,85,0.9978,0.0,2131.0926755500004,2131.0926755500004,warmup,2025-01-01,,,0.0,NONE
0.0,1091.4966666666664,655.7375,1200.0,1200.0,0.0,0.0,655.7375,0.0,0.0,0.0,0.0,0.0,435.7591666666665,86,1.0271,0.0,2237.8412004166657,2237.8412004166657,warmup,2025-01-01,,,0.0,NONE
0.0,1066.4271166666667,608.0204833333332,1200.0,1200.0,0.0,0.0,608.0204833333332,0.0,0.0,0.0,0.0,0.0,458.4066333333335,87,1.0906,0.0,2499.691371566668,2499.691371566668,warmup,2025-01-01,,,0.0,NONE
0.0,1032.7642333333333,571.8360666666666,1200.0,1200.0,0.0,0.0,571.8360666666666,0.0,0.0,0.0,0.0,0.0,460.9281666666667,88,0.9376,0.0,2160.8312453333333,2160.8312453333333,warmup,2025-01-01,,,0.0,NONE
0.0,1025.7816666666665,554.55625,1200.0,1200.0,0.0,0.0,554.55625,0.0,0.0,0.0,0.0,0.0,471.22541666666655,89,0.6694,0.0,1577.191469583333,1577.191469583333,warmup,2025-01-01,,,0.0,NONE
0.0,1076.5969666666665,523.18625,1200.0,1200.0,0.0,0.0,523.18625,0.0,0.0,0.0,0.0,0.0,553.4107166666665,90,0.66,0.0,1826.2553649999998,1826.2553649999998,warmup,2025-01-01,,,0.0,NONE
0.0,1103.8142833333332,476.73754999999994,1200.0,1200.0,0.0,0.0,476.73754999999994,0.0,0.0,0.0,0.0,0.0,627.0767333333332,91,0.7217,0.0,2262.806392233333,2262.806392233333,warmup,2025-01-01,,,0.0,NONE
0.0,1082.2683333333332,417.5,1200.0,1200.0,0.0,0.0,417.5,0.0,0.0,0.0,0.0,0.0,664.7683333333332,92,0.7308,0.0,2429.0634899999995,2429.0634899999995,warmup,2025-01-01,,,0.0,NONE
0.0,1062.5086,348.2825,1200.0,1200.0,0.0,0.0,348.2825,0.0,0.0,0.0,0.0,0.0,714.2260999999999,93,0.7534,0.0,2690.4897186999992,2690.4897186999992,warmup,2025-01-01,,,0.0,NONE
0.0,1059.0188333333333,293.69269999999995,1200.0,1200.0,0.0,0.0,293.69269999999995,0.0,0.0,0.0,0.0,0.0,765.3261333333334,94,0.7823,0.0,2993.5731705333337,2993.5731705333337,warmup,2025-01-01,,,0.0,NONE
0.0,1067.375,254.29999999999998,1200.0,1200.0,0.0,0.0,254.29999999999998,0.0,0.0,0.0,0.0,0.0,813.075,95,0.8055,0.0,3274.6595625,3274.6595625,warmup,2025-01-01,,,0.0,NONE
0.0,1074.1619999999998,208.20041666666668,1200.0,1200.0,0.0,0.0,208.20041666666668,0.0,0.0,0.0,0.0,0.0,865.9615833333331,96,0.8271,0.0,3581.184127874999,3581.184127874999,warmup,2025-01-01,,,0.0,NONE
0.0,1066.5764333333332,161.37031666666667,1200.0,1200.0,0.0,0.0,161.37031666666667,0.0,0.0,0.0,0.0,0.0,905.2061166666665,97,0.8519,0.0,3855.725453941666,3855.725453941666,warmup,2025-01-01,,,0.0,NONE
0.0,1048.6916666666666,117.76874999999998,1200.0,1200.0,0.0,0.0,117.76874999999998,0.0,0.0,0.0,0.0,0.0,930.9229166666667,98,0.8791,0.0,4091.8716802083336,4091.8716802083336,warmup,2025-01-01,,,0.0,NONE
0.0,1039.4858833333333,73.40638333333334,1200.0,1200.0,0.0,0.0,73.40638333333334,0.0,0.0,0.0,0.0,0.0,966.0794999999999,99,0.9024,0.0,4358.950703999999,4358.950703999999,warmup,2025-01-01,,,0.0,NONE
0.0,1049.9906166666665,30.147499999999997,1200.0,1200.0,0.0,0.0,30.147499999999997,0.0,0.0,0.0,0.0,0.0,1019.8431166666664,100,0.9163,0.0,4672.411239008333,4672.411239008333,warmup,2025-01-01,,,0.0,NONE
0.0,1064.8433333333332,0.49374999999999997,1200.0,1200.0,0.0,0.0,0.49374999999999997,0.0,0.0,0.0,0.0,0.0,1064.3495833333332,101,0.9264,0.0,4930.067269999999,4930.067269999999,warmup,2025-01-01,,,0.0,NONE
0.0,1054.1972166666665,0.0,1200.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1054.1972166666665,102,0.9462,0.0,4987.407032049999,4987.407032049999,warmup,2025-01-01,,,0.0,NONE
0.0,1028.2455666666665,0.9929666666666666,1200.0,1200.0,0.0,0.0,0.9929666666666666,0.0,0.0,0.0,0.0,0.0,1027.2525999999998,103,0.9742,0.0,5003.747414599999,5003.747414599999,warmup,2025-01-01,,,0.0,NONE
0.0,1031.9983333333332,0.0,1200.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1031.9983333333332,104,0.9862,0.0,5088.783781666666,5088.783781666666,warmup,2025-01-01,,,0.0,NONE
0.0,1077.4177833333333,0.0,1200.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1077.4177833333333,105,0.976,0.0,5257.798782666667,5257.798782666667,warmup,2025-01-01,,,0.0,NONE
0.0,960.6718166666666,0.07128333333333334,1200.0,1200.0,0.0,0.0,0.07128333333333334,0.0,0.0,0.0,0.0,0.0,960.6005333333333,106,1.0742,0.0,5159.385464533333,5159.385464533333,warmup,2025-01-01,,,0.0,NONE
0.0,754.9083333333333,0.0,1200.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,754.9083333333333,107,1.2313,0.0,4647.593154166667,4647.593154166667,warmup,2025-01-01,,,0.0,NONE
0.0,748.4221333333332,0.0,1200.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,748.4221333333332,108,1.2561,0.0,4700.465208399999,4700.465208399999,warmup,2025-01-01,,,0.0,NONE
0.0,774.0034333333333,0.005116666666666667,1200.0,1200.0,0.0,0.0,0.005116666666666667,0.0,0.0,0.0,0.0,0.0,773.9983166666666,109,1.2447,0.0,4816.978523774999,4816.978523774999,warmup,2025-01-01,,,0.0,NONE
0.0,744.8683333333333,0.0,1200.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,744.8683333333333,110,1.2545,0.0,4672.186620833333,4672.186620833333,warmup,2025-01-01,,,0.0,NONE
0.0,745.0775,0.0,1200.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,745.0775,111,1.2522,0.0,4664.9302275,4664.9302275,warmup,2025-01-01,,,0.0,NONE
0.0,751.8126,0.00036666666666666667,1200.0,1200.0,0.0,0.0,0.00036666666666666667,0.0,0.0,0.0,0.0,0.0,751.8122333333333,112,1.2881,0.0,4842.046688783334,4842.046688783334,warmup,2025-01-01,,,0.0,NONE
0.0,747.6949999999999,0.0,1200.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,747.6949999999999,113,1.3466,0.0,5034.230435,5034.230435,warmup,2025-01-01,,,0.0,NONE
0.0,745.2882166666666,0.0,1200.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,745.2882166666666,114,1.3523,0.0,5039.266276991666,5039.266276991666,warmup,2025-01-01,,,0.0,NONE
0.0,739.9705833333334,0.0,1200.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,739.9705833333334,115,1.3445,0.0,4974.452246458333,4974.452246458333,warmup,2025-01-01,,,0.0,NONE
