strategy,date,e_start,e_end,plan_kwh,emergency_kwh,load_kwh,plan_cost,emergency_cost,total_cost,pv_spill_kwh,paid_grid_spill_kwh,charge_kwh,discharge_kwh,emergency_slots,solver,solve_seconds
warmup,2025-01-15,5175.716940343915,5520.45343515873,82589.8560665197,12130.717323928568,126963.89896666672,50331.676082478814,72405.91397075403,122737.59005323284,0.0,15.473433333333332,22760.495676043494,18125.73865226191,32,LP,0.005483100016135722
warmup,2025-01-16,5520.45343515873,5514.654697962963,82287.42584864786,11135.663170557316,126807.76418333329,50231.280950646134,64119.220691391434,114350.5016420375,0.0,0.0,22916.612803586122,18567.67523438095,32,LP,0.004451799992239103
warmup,2025-01-17,5514.654697962963,10800.0,81995.00433312754,0.0,80876.07620000001,50033.185453327394,0.0,50033.185453327394,4738.60419673721,26573.66315737801,17035.856529012344,9042.233016666667,0,LP,0.005029300024034455
warmup,2025-01-18,10800.0,10702.72671957672,75670.35800437977,0.0,81208.05750000002,47244.88471334469,0.0,47244.88471334469,4865.237533333333,25604.90140984714,10764.505246913583,8806.795202380954,0,LP,0.00492479998501949
warmup,2025-01-19,10702.72671957672,5476.423843227514,75508.53759562019,11658.435104285709,126210.8462166667,47065.69132205289,70378.0034907488,117443.6948128017,0.0,0.0,16776.346431334507,18292.513198095232,32,LP,0.005912799999350682
warmup,2025-01-20,5476.423843227514,5563.01035383598,80986.98004065256,11385.398470554375,126565.66615000006,49313.68035059341,66999.37097811159,116313.05132870501,0.0,10.606190476190704,22193.51532201646,17898.819551285713,33,LP,0.005083900003228337
warmup,2025-01-21,5563.01035383598,5567.343605820105,80876.93747081126,7838.862728023808,125750.14588333335,49283.31396049071,45896.55638607017,95179.87034656089,0.0,785.039326190476,23426.085592239862,18971.22940292857,28,LP,0.005078000016510487
warmup,2025-01-22,5567.343605820105,5401.83099415344,79975.77658818339,12772.312935547623,126679.58854999994,48694.61774000666,76841.60979081097,125536.22753081763,0.0,0.0,21043.613197707233,17194.28804064285,33,LP,0.0050580000097397715
warmup,2025-01-23,5401.83099415344,5603.356830238095,79989.90221713696,13610.06927866667,126355.43115000005,48626.632067195846,82025.35340930616,130651.985476502,0.0,0.0,20277.224438565547,16243.178542761905,35,LP,0.005121700000017881
warmup,2025-01-24,5603.356830238095,10800.0,79850.42064606113,0.0,80339.5357,48537.2794079367,0.0,48537.2794079367,6744.230633333333,25443.773164432685,16610.657081628462,8777.653383333332,0,LP,0.004653199983295053
warmup,2025-01-25,10800.0,10789.292328042327,73667.3776839212,0.0,80632.06428333334,45855.854347091685,0.0,45855.854347091685,8080.903916196352,25126.094290799527,10686.531131687247,8665.72712142857,0,LP,0.0055853000085335225
warmup,2025-01-26,10789.292328042327,5366.10307132275,72973.95186556436,12663.421252499411,126385.04864999997,45375.830501396085,77117.64804045684,122493.47854185292,0.0,0.0,14838.17587251616,16899.79278778571,35,LP,0.004988700005924329
warmup,2025-01-27,5366.10307132275,5293.417301269841,78842.91207910056,9467.965155142852,125642.95023333342,47734.37224967388,57478.4168225978,105212.78907227168,0.0,0.0,22007.250757671958,17891.2903067619,30,LP,0.004977300006430596
warmup,2025-01-28,5293.417301269841,5448.819231349205,78361.20711984122,12795.879936398589,126496.61093333327,47319.186679816135,76916.29207425112,124235.47875406727,0.0,22.79738095238099,21126.466166049377,16972.575857428565,35,LP,0.004773299995576963
warmup,2025-01-29,5448.819231349205,5482.696935317461,78705.33047942385,7018.791917666669,125425.4448666667,47563.32951099412,41349.00307656933,88912.33258756343,0.0,9.974999999999795,22623.4548079953,18294.508460904763,28,LP,0.0065728999907150865
warmup,2025-01-30,5482.696935317461,5668.3257005820105,77561.36519964725,10632.586950357156,126011.04994999997,46699.08991923362,62327.63076748876,109026.72068672233,0.0,77.18246904761895,22142.74215202822,17768.555254404753,32,LP,0.004985300009138882
warmup,2025-01-31,5668.3257005820105,10800.0,76530.37408611523,0.0,80009.91998333333,46046.5091553815,0.0,46046.5091553815,6839.702883333334,23030.597356202226,17248.652247912996,9352.901451333335,0,LP,0.004860700020799413
baseline,2025-02-01,10800.0,10766.205555555556,70675.14558645236,0.0,76305.2062833333,43507.1349965426,0.0,43507.1349965426,9265.026327777776,25040.91684594356,10639.165681040558,8648.139201642858,0,LP,0.005166499991901219
baseline,2025-02-02,10766.205555555556,5690.115659021165,70130.72839954936,6967.723859380948,121705.97265000001,43118.516094948915,41887.81901908871,85006.33511403765,0.0,50.334178571428424,17159.58440652557,18467.744276166664,27,LP,0.006309699994744733
baseline,2025-02-03,5690.115659021165,5562.26135648148,74454.8845363495,9760.251648214284,122603.76899999996,44555.332922094865,58423.05081550557,102978.38373760044,0.0,17.61261904761932,21556.189146325687,17575.582080809523,31,LP,0.005056499998318031
baseline,2025-02-04,5562.26135648148,5463.62968936508,74010.3251564374,11159.58555269048,121578.09884999998,44226.99386944863,67184.87069808017,111411.8645675288,0.0,0.0,21388.5013659612,17413.454606833322,33,LP,0.004731399996671826
baseline,2025-02-05,5463.62968936508,5531.441899814815,73279.68740511466,11476.303239428573,121991.08443333334,43723.46784633022,67432.96741886518,111156.43526519544,0.0,0.0,20771.22458844797,16763.660927238085,35,LP,0.004791700019268319
baseline,2025-02-06,5531.441899814815,5541.1184857936505,73118.17220817161,11104.05598332599,122252.16269999999,43656.691397171984,66785.59650725761,110442.28790442958,0.0,3.0653714285712113,20733.666715902407,16785.5611125,36,LP,0.004931199975544587
baseline,2025-02-07,5541.1184857936505,10800.0,72610.92065385068,0.0,76168.59693333329,43254.14637297128,0.0,43254.14637297128,10394.751736331567,22253.311424368014,18022.023493151086,9864.845666666666,0,LP,0.007208399998489767
baseline,2025-02-08,10800.0,10789.135978835979,65755.9690984127,0.0,75746.78751666665,40185.58924289032,0.0,40185.58924289032,10035.645270899473,22007.96150440917,11289.353818342155,9154.15421190476,0,LP,0.005193599994527176
baseline,2025-02-09,10789.135978835979,5449.67690005291,65367.63283206936,12147.18305034951,121547.90356666666,39913.39517011145,72430.10047886061,112343.49564897208,0.0,0.0,14552.174140299818,16592.774224547607,36,LP,0.004755400004796684
baseline,2025-02-10,5449.67690005291,5321.273788518518,71483.53981860673,7255.605951571421,121477.56451666665,42482.82196827378,43218.51150616259,85701.33347443635,0.0,230.73554047619007,22617.554982892416,18435.78233652381,31,LP,0.004982499987818301
baseline,2025-02-11,5321.273788518518,5492.287455608465,70781.05617818926,8810.483886309532,121441.28161666669,41949.68913792765,51753.430828632794,93703.11996656047,0.0,0.0,22194.898056760732,17823.955125595225,31,LP,0.004794800013769418
baseline,2025-02-12,5492.287455608465,5455.934323227513,69713.27481349204,9730.932534309524,121363.85288333334,41277.9678807889,58298.34402002078,99576.31190080971,0.0,46.5350404761906,21913.968384920638,17783.03221092857,33,LP,0.005226599983870983
baseline,2025-02-13,5455.934323227513,5624.230005343916,68906.81962013521,6977.1224450000045,121310.28371666669,40792.538342116124,41179.19377545095,81971.73211756712,0.0,243.65798809523756,21891.25761299236,17580.45255261905,27,LP,0.004910199990263209
baseline,2025-02-14,5624.230005343916,10800.0,67334.21773118753,0.0,75872.63795000003,39854.265403501195,0.0,39854.265403501195,10084.330499029984,19531.542712433864,17149.20898877131,9232.666285714284,0,LP,0.005112000013468787
q80_margin,2025-02-01,10800.0,10800.0,86974.12187833508,0.0,76305.2062833333,56023.32344062502,0.0,56023.32344062502,9402.709983744848,41718.84783721379,7759.937494963746,6285.549370920635,0,LP,0.004778700007591397
q80_margin,2025-02-02,10800.0,6786.523534773542,86392.78073561903,0.0,121705.97265000001,55609.19109920504,0.0,55609.19109920504,49.9313425044107,8262.261950328437,17560.201639421128,17835.892146634924,0,LP,0.005879600008483976
q80_margin,2025-02-03,6786.523534773542,6479.320807349205,88848.82578506407,0.0,122603.76899999996,56028.461795085575,0.0,56028.461795085575,0.0,4667.119706564383,22322.484385166375,18357.69480666666,0,LP,0.005359499977203086
q80_margin,2025-02-04,6479.320807349205,6518.763534042328,88280.86571272778,0.0,121578.09884999998,55511.249943188406,0.0,55511.249943188406,0.0,2415.796945490898,24393.191385332135,19722.986568095235,0,LP,0.005071699997643009
q80_margin,2025-02-05,6518.763534042328,6370.807255888889,87157.53529637858,60.641502942853435,121991.08443333334,54750.99272099099,319.46520964355784,55070.45793063455,0.0,2025.3317279717821,24092.519675549673,19648.10158753334,3,LP,0.005248200002824888
q80_margin,2025-02-06,6370.807255888889,6405.565453253974,87232.90806410345,58.910591428571706,122252.16269999999,54797.486342265714,338.2174838347635,55135.70382610048,0.0,2486.862564785417,23697.981560270422,19164.082686190475,3,LP,0.005482800013851374
q80_margin,2025-02-07,6405.565453253974,10800.0,86676.12702800709,0.0,76168.59693333329,54365.52029834732,0.0,54365.52029834732,10777.892583333334,37491.155274126955,13928.465325308644,7327.065821428574,0,LP,0.004767400008859113
q80_margin,2025-02-08,10800.0,10800.0,80779.41515552024,0.0,75746.78751666665,51669.90243957656,0.0,51669.90243957656,10893.545247325104,36750.85712621399,8199.21087007643,6641.360804761908,0,LP,0.004842599999392405
q80_margin,2025-02-09,10800.0,6242.616883592591,80380.08629186946,0.0,121547.90356666666,51386.32680162892,0.0,51386.32680162892,0.0,1267.909737189892,19254.765225155792,19698.004637142854,0,LP,0.004970200010575354
q80_margin,2025-02-10,6242.616883592591,6016.427758947088,85687.79693612577,0.0,121477.56451666665,53631.07182761972,0.0,53631.07182761972,443.37197025279295,7110.554351922401,21109.49075156967,17302.257720952384,0,LP,0.004645400011213496
q80_margin,2025-02-11,6016.427758947088,6103.285073571428,85033.98663924754,49.08824533809734,121441.28161666669,53069.32820084638,231.46050799652883,53300.78870884291,166.04902603174085,5315.105357613171,22648.167286554977,18266.843918947623,5,LP,0.005493000004207715
q80_margin,2025-02-12,6103.285073571428,6097.750595317461,83927.26694294535,6.12250333333327,121363.85288333334,52333.18911015172,28.67780561333304,52361.86691576505,163.38428333333331,4206.073441975313,22643.03483192239,18345.839244285708,1,LP,0.004704199993284419
q80_margin,2025-02-13,6097.750595317461,6278.388666555553,82949.08469750146,12.513333333333321,121310.28371666669,51715.959007038306,56.92940999999995,51772.88841703832,558.6377833333336,7027.632151146385,20438.288503021748,16392.439423333333,1,LP,0.005071399995358661
q80_margin,2025-02-14,6278.388666555553,10800.0,81265.75219358612,0.0,75872.63795000003,50548.04287629426,0.0,50548.04287629426,12277.905954526745,32528.42923751909,13621.92097249266,6964.305787619049,0,LP,0.011178200016729534
