strategy,window,period,date,issue_hour,plan_version,chosen_source,candidate_count,chosen_score,scenario_mean,scenario_cvar,increase_kwh,decrease_kwh,adjustment_cost,decision_adjustment_cost,changed,price_bias,solver
state_only_mean14,dev_march,development,2025-03-19,12,2,point,2,24370.746463791264,24370.746463791264,24370.746463791264,1042.182282654319,7.958078640513122e-13,311.41285133227143,322.36554380891664,1,0.0,LP
state_only_mean14,dev_march,development,2025-03-19,18,3,point,2,20340.64030617954,20340.64030617954,20340.64030617954,1685.4976028388858,0.0,1041.111355488002,1034.5394701794917,1,0.0,LP
state_only_mean14,dev_march,development,2025-03-20,6,1,point,2,33967.60090618758,33967.60090618758,33967.60090618758,0.0,2.4186666666668657,0.9622665333334125,0.9499486095238877,1,0.0,LP
state_only_mean14,dev_march,development,2025-03-20,12,2,point,2,29921.26869864822,29921.26869864822,29921.26869864822,1223.4479087860118,0.0,428.8352814382773,406.5855259502041,1,0.0,LP
state_only_mean14,dev_march,development,2025-03-20,18,3,keep_previous,2,18575.709178258247,18575.709178258247,18575.709178258247,0.0,0.0,0.0,0.0,0,0.0,LP
state_only_mean14,dev_april,development,2025-04-17,6,1,point,2,23395.279775385807,23395.279775385807,23395.279775385807,127.25584673333273,0.0,40.08559172099981,39.17071308002053,1,0.0,LP
state_only_mean14,dev_april,development,2025-04-17,12,2,point,2,22297.421266826066,22297.421266826066,22297.421266826066,1620.947833333335,0.0,376.71227633441674,351.25658890466275,1,0.0,LP
state_only_mean14,dev_april,development,2025-04-17,18,3,point,2,18963.313644888814,18963.313644888814,18963.313644888814,837.8319653666669,0.0,526.9224799871213,510.6995266716535,1,0.0,LP
state_only_mean14,dev_april,development,2025-04-18,6,1,point,2,5862.149989832176,5862.149989832176,5862.149989832176,373.8855351777777,2.0463630789890885e-12,115.60423616200411,144.85816184481223,1,0.0,MILP
state_only_mean14,dev_april,development,2025-04-18,12,2,point,1,11609.11185868391,11609.11185868391,11609.11185868391,2.0463630789890885e-12,5.684341886080801e-13,1.1062866178690454e-12,1.2548897286381233e-12,0,0.0,LP
state_only_mean14,dev_april,development,2025-04-18,18,3,keep_previous,2,10802.799117635384,10802.799117635384,10802.799117635384,0.0,0.0,0.0,0.0,0,0.0,LP
state_only_mean14,dev_april,development,2025-04-19,6,1,point,2,5669.955801325467,5669.955801325467,5669.955801325467,173.7805902444465,0.0,55.85654231559624,62.71417604007812,1,0.0,MILP
state_only_mean14,dev_april,development,2025-04-19,12,2,point,1,11331.167380490973,11331.167380490973,11331.167380490973,4.035882739117369e-12,2.3874235921539366e-12,1.503650537415524e-12,1.9637259437591378e-12,0,0.0,LP
state_only_mean14,dev_april,development,2025-04-19,18,3,point,2,11046.929859091513,11046.929859091513,11046.929859091513,302.9117418666667,4.035882739117369e-12,123.1033318946139,141.6188121162141,1,0.0,LP
state_only_mean14,dev_april,development,2025-04-20,6,1,point,2,23741.547095943155,23741.547095943155,23741.547095943155,279.2110966555522,0.0,91.71231880503663,88.06912544331105,1,0.0,LP
state_only_mean14,dev_april,development,2025-04-20,12,2,point,2,21034.76191978796,21034.76191978796,21034.76191978796,1.1368683772161603e-13,1030.269278888889,225.21181929788895,181.37227596598817,1,0.0,MILP
state_only_mean14,dev_april,development,2025-04-20,18,3,point,2,19579.754589489472,19579.754589489472,19579.754589489472,1739.7161991888847,0.0,1074.6168563636397,1060.0360197540604,1,0.0,LP
state_only_mean14,dev_april,development,2025-04-21,6,1,point,2,24950.54287992456,24950.54287992456,24950.54287992456,725.6829100685841,0.0,167.01382522359185,148.0669979481461,1,0.0,LP
state_only_mean14,dev_april,development,2025-04-21,12,2,point,2,23065.910479776594,23065.910479776594,23065.910479776594,4.547473508864641e-13,765.6206815363522,133.13581875452445,143.27072539514154,1,0.0,LP
state_only_mean14,dev_april,development,2025-04-21,18,3,point,2,17822.089594626603,17822.089594626603,17822.089594626603,7.942266666667479,4.547473508864641e-13,4.984963673334128,4.821211153810291,1,0.0,LP
state_only_mean14,dev_april,development,2025-04-22,6,1,point,2,22676.854804307633,22676.854804307633,22676.854804307633,347.62825403333534,0.0,116.85617151196402,108.92992848887701,1,0.0,MILP
state_only_mean14,dev_april,development,2025-04-22,12,2,point,1,20555.396656362147,20555.396656362147,20555.396656362147,0.0,4.547473508864641e-13,2.6375346351414917e-13,2.5723595951733713e-13,0,0.0,MILP
state_only_mean14,dev_april,development,2025-04-22,18,3,point,2,20055.33769638867,20055.33769638867,20055.33769638867,2269.426824099997,2.2737367544323206e-13,1445.6392195687677,1380.5783597247005,1,0.0,LP
state_only_mean14,dev_april,development,2025-04-23,6,1,point,2,21174.48771425649,21174.48771425649,21174.48771425649,474.132527077776,2.2737367544323206e-13,165.57268736205492,155.30285097752918,1,0.0,MILP
state_only_mean14,dev_april,development,2025-04-23,12,2,point,1,19344.318612831023,19344.318612831023,19344.318612831023,0.0,0.0,0.0,0.0,0,0.0,MILP
state_only_mean14,dev_april,development,2025-04-23,18,3,point,2,21111.520172757402,21111.520172757402,21111.520172757402,3330.3239016666666,0.0,2147.4960652641666,2028.8058144579286,1,0.0,LP
state_only_mean14,dev_april,development,2025-04-24,6,1,point,2,21934.708563933338,21934.708563933338,21934.708563933338,183.13486004444334,0.0,55.090041323511045,55.98407652568056,1,0.0,MILP
state_only_mean14,dev_april,development,2025-04-24,12,2,point,1,20296.830552296673,20296.830552296673,20296.830552296673,1.2505552149377763e-12,1.2505552149377763e-12,1.5120463103812654e-12,1.4581965095723198e-12,0,0.0,MILP
state_only_mean14,dev_april,development,2025-04-24,18,3,point,2,18101.60939254059,18101.60939254059,18101.60939254059,221.70826433333343,1.1368683772161603e-13,138.04855935896677,134.97531598368582,1,0.0,LP
state_only_mean14,dev_april,development,2025-04-25,6,1,point,2,5385.2536797713265,5385.2536797713265,5385.2536797713265,71.23318845555795,2.2737367544323206e-13,20.557683590736904,26.678276768051884,1,0.0,MILP
state_only_mean14,dev_april,development,2025-04-25,12,2,point,1,11521.137893124334,11521.137893124334,11521.137893124334,2.2737367544323206e-13,3.979039320256561e-13,3.011308535860735e-13,3.396507963771e-13,0,0.0,LP
state_only_mean14,dev_april,development,2025-04-25,18,3,keep_previous,2,10703.444634744736,10703.444634744736,10703.444634744736,0.0,0.0,0.0,0.0,0,0.0,LP
state_only_mean14,dev_april,development,2025-04-26,6,1,point,2,5369.99265257286,5369.99265257286,5369.99265257286,245.7807137888908,0.0,70.8224008409556,95.2194345310534,1,0.0,MILP
state_only_mean14,dev_april,development,2025-04-26,12,2,point,1,11465.197577813558,11465.197577813558,11465.197577813558,0.0,6.252776074688882e-13,3.273441961937351e-13,3.68471627812791e-13,0,0.0,LP
state_only_mean14,dev_april,development,2025-04-26,18,3,point,2,10774.26746824401,10774.26746824401,10774.26746824401,14.002791500000342,0.0,5.876271452975144,6.572610270282304,1,0.0,LP
state_only_mean14,dev_april,development,2025-04-27,6,1,point,2,20939.391267161096,20939.391267161096,20939.391267161096,64.87089422222397,0.0,20.933837565511674,19.17375119620369,1,0.0,MILP
state_only_mean14,dev_april,development,2025-04-27,12,2,point,2,20423.461784485346,20423.461784485346,20423.461784485346,284.92834722222085,2.2737367544323206e-13,38.75025522222218,44.025500050793575,1,0.0,LP
state_only_mean14,dev_april,development,2025-04-27,18,3,point,2,18707.153962896155,18707.153962896155,18707.153962896155,1047.6954722222235,0.0,661.5262718370009,639.262171096219,1,0.0,LP
state_only_mean14,dev_april,development,2025-04-28,6,1,point,2,25393.904588599635,25393.904588599635,25393.904588599635,214.34188676110972,0.0,67.70974598174475,59.762180307328144,1,0.0,LP
state_only_mean14,dev_april,development,2025-04-28,12,2,point,2,23079.81025127722,23079.81025127722,23079.81025127722,348.43610833333514,2.0463630789890885e-12,100.48897364333489,80.0668844509835,1,0.0,LP
state_only_mean14,dev_april,development,2025-04-28,18,3,point,2,17899.980746147812,17899.980746147812,17899.980746147812,170.5155105555561,0.0,107.58676138502811,103.91641502031977,1,0.0,LP
state_only_mean14,dev_april,development,2025-04-29,6,1,point,2,20881.7711617755,20881.7711617755,20881.7711617755,89.54276995555468,1.5916157281026244e-12,29.67031482620956,29.03818572514001,1,0.0,LP
state_only_mean14,dev_april,development,2025-04-29,12,2,point,2,21453.678124723483,21453.678124723483,21453.678124723483,150.4700327777755,0.0,25.41438853616628,26.1280464059123,1,0.0,LP
state_only_mean14,dev_april,development,2025-04-29,18,3,point,2,18988.78671470128,18988.78671470128,18988.78671470128,1117.261528183331,0.0,730.4770164087017,681.8532796152206,1,0.0,LP
state_only_mean14,dev_april,development,2025-04-30,6,1,point,2,20196.62550796193,20196.62550796193,20196.62550796193,6.4775803000003656,1.7053025658242404e-12,2.0090215300462333,1.8996198256222183,1,0.0,MILP
state_only_mean14,dev_april,development,2025-04-30,12,2,point,2,19985.60129853706,19985.60129853706,19985.60129853706,623.5356877777791,4.547473508864641e-13,142.72381211783454,98.36788540030672,1,0.0,LP
state_only_mean14,dev_april,development,2025-04-30,18,3,point,2,18518.358641982748,18518.358641982748,18518.358641982748,610.773749561113,1.5916157281026244e-12,395.18181724883584,372.88759579313086,1,0.0,LP
state_only_mean14,val_june,validation,2025-06-08,6,1,point,2,31551.301655902313,31551.301655902313,31551.301655902313,1047.6436434370494,0.0,353.1057679732795,306.6058149399895,1,0.0,LP
state_only_mean14,val_june,validation,2025-06-08,12,2,point,2,28780.44161561918,28780.44161561918,28780.44161561918,3.410605131648481e-13,2588.5915177777774,700.4744456253891,555.8475207513177,1,0.0,MILP
state_only_mean14,val_june,validation,2025-06-08,18,3,point,2,25034.603406931456,25034.603406931456,25034.603406931456,3234.916552927772,2.2737367544323206e-13,2210.1922500224023,2087.2101865619616,1,0.0,LP
state_only_mean14,val_june,validation,2025-06-09,6,1,point,2,37599.85603734264,37599.85603734264,37599.85603734264,623.2996226111109,0.0,247.16342433878458,232.63045039660108,1,0.0,LP
state_only_mean14,val_june,validation,2025-06-09,12,2,point,2,32262.090397603617,32262.090397603617,32262.090397603617,0.0,2307.744104259264,664.3987520688809,562.4176078062384,1,0.0,LP
state_only_mean14,val_june,validation,2025-06-09,18,3,point,2,22426.200372663225,22426.200372663225,22426.200372663225,557.7316851888872,0.0,384.47233718495943,359.47998199187026,1,0.0,LP
state_only_mean14,val_june,validation,2025-06-10,6,1,point,2,34088.58908664787,34088.58908664787,34088.58908664787,1270.135729108371,0.0,384.32768374219074,357.4673059532689,1,0.0,LP
state_only_mean14,val_june,validation,2025-06-10,12,2,point,2,29704.165765519156,29704.165765519156,29704.165765519156,450.07705842935434,0.0,158.22720277522896,131.11255061532282,1,0.0,LP
state_only_mean14,val_june,validation,2025-06-10,18,3,point,2,24654.726357841268,24654.726357841268,24654.726357841268,2658.595893406792,0.0,1811.2079189603364,1728.0276295954031,1,0.0,LP
state_only_mean14,val_june,validation,2025-06-11,6,1,point,2,38347.36692131113,38347.36692131113,38347.36692131113,61.648728233332804,0.0,25.88938342158811,22.410413582963496,1,0.0,LP
state_only_mean14,val_june,validation,2025-06-11,12,2,point,2,34104.68700152864,34104.68700152864,34104.68700152864,1543.9620218655712,0.0,722.4643511803889,594.6331411691399,1,0.0,LP
state_only_mean14,val_june,validation,2025-06-11,18,3,point,2,22417.416947213074,22417.416947213074,22417.416947213074,369.0714333333357,0.0,259.4756712050016,240.0572413626206,1,0.0,LP
state_only_mean14,val_june,validation,2025-06-12,6,1,point,2,36817.103805619045,36817.103805619045,36817.103805619045,448.7090901851879,0.0,168.6024406370848,134.1223521212831,1,0.0,LP
state_only_mean14,val_june,validation,2025-06-12,12,2,point,2,31813.03116059484,31813.03116059484,31813.03116059484,0.0,690.7073683607692,259.533293661559,206.45736602709363,1,0.0,LP
state_only_mean14,val_june,validation,2025-06-12,18,3,point,2,24493.039579456028,24493.039579456028,24493.039579456028,2364.187130229563,0.0,1609.1728461811724,1541.9340431012474,1,0.0,LP
state_only_mean14,val_june,validation,2025-06-13,6,1,point,2,9610.010727420124,9610.010727420124,9610.010727420124,118.71084464444391,1.0231815394945443e-12,32.60719772966363,38.66596634309723,1,0.0,MILP
state_only_mean14,val_june,validation,2025-06-13,12,2,point,1,13111.738026334471,13111.738026334471,13111.738026334471,1.2087335258090512e-12,2.0463630789890885e-12,1.3794898387619494e-12,1.5221244913082724e-12,0,0.0,MILP
state_only_mean14,val_june,validation,2025-06-13,18,3,point,2,15132.062629473668,15132.062629473668,15132.062629473668,1263.6327766666684,6.252776074688882e-13,719.5125720976678,782.5892456158704,1,0.0,LP
state_only_mean14,val_june,validation,2025-06-14,6,1,point,2,9660.011012696608,9660.011012696608,9660.011012696608,5.671547255554993,0.0,1.70118059930372,2.0432559209173373,1,0.0,MILP
state_only_mean14,val_june,validation,2025-06-14,12,2,point,1,15708.031563133132,15708.031563133132,15708.031563133132,0.0,1.6484591469634324e-12,7.037272098386893e-13,8.750315519786714e-13,0,0.0,MILP
state_only_mean14,val_june,validation,2025-06-14,18,3,point,2,15429.979953133248,15429.979953133248,15429.979953133248,963.7998649999988,2.2737367544323206e-13,560.2632629001662,601.7756842151185,1,0.0,LP
state_only_mean14,val_june,validation,2025-06-15,6,1,point,2,35297.13623252993,35297.13623252993,35297.13623252993,78.8945679561038,0.0,22.129926311687118,20.119241894062988,1,0.0,LP
state_only_mean14,val_june,validation,2025-06-15,12,2,point,2,32988.48118031775,32988.48118031775,32988.48118031775,3319.0383752469115,0.0,1344.624465231088,1265.3902944732458,1,0.0,LP
state_only_mean14,val_june,validation,2025-06-15,18,3,point,2,25770.451793816927,25770.451793816927,25770.451793816927,2511.2259255000004,0.0,1748.1506235244337,1656.8288391263513,1,0.0,LP
state_only_mean14,val_june,validation,2025-06-16,6,1,point,2,37157.40282569292,37157.40282569292,37157.40282569292,238.19464041028925,0.0,74.73727896951534,69.39849105869942,1,0.0,LP
state_only_mean14,val_june,validation,2025-06-16,12,2,point,2,34368.72173744983,34368.72173744983,34368.72173744983,2397.555371028807,0.0,1022.0311758487596,881.9243855816095,1,0.0,LP
state_only_mean14,val_june,validation,2025-06-16,18,3,point,2,23901.858928201476,23901.858928201476,23901.858928201476,966.0127275000034,0.0,656.4764324823773,637.0676033964755,1,0.0,LP
state_only_mean14,val_june,validation,2025-06-17,6,1,point,2,38710.55341608692,38710.55341608692,38710.55341608692,343.04080034293736,0.0,104.12459548002963,89.12932199722957,1,0.0,LP
state_only_mean14,val_june,validation,2025-06-17,12,2,point,2,36215.536630142495,36215.536630142495,36215.536630142495,2776.823910283334,0.0,1327.7357177459778,1120.4331448062899,1,0.0,LP
state_only_mean14,val_june,validation,2025-06-17,18,3,point,2,24281.655528500774,24281.655528500774,24281.655528500774,1103.473887787167,0.0,760.2633585444621,727.8994492537528,1,0.0,LP
state_only_mean14,val_june,validation,2025-06-18,6,1,point,2,38776.605073297156,38776.605073297156,38776.605073297156,118.73997994513297,0.0,34.29804320715166,32.29557825964837,1,0.0,LP
state_only_mean14,val_june,validation,2025-06-18,12,2,point,2,34733.67454776421,34733.67454776421,34733.67454776421,1115.6457712333352,0.0,452.53403062826874,407.96213535993627,1,0.0,LP
state_only_mean14,val_june,validation,2025-06-18,18,3,point,2,23875.138771535378,23875.138771535378,23875.138771535378,848.5861198333318,0.0,577.4329014571322,559.3791069053061,1,0.0,LP
state_only_mean14,val_june,validation,2025-06-19,6,1,point,2,35501.22492468037,35501.22492468037,35501.22492468037,201.59974822222196,0.0,76.09147694788876,76.48774482930472,1,0.0,LP
state_only_mean14,val_june,validation,2025-06-19,12,2,point,2,29988.367827243215,29988.367827243215,29988.367827243215,0.0,2250.0616426886127,553.1681628362243,569.8798621545086,1,0.0,LP
state_only_mean14,val_june,validation,2025-06-19,18,3,point,2,26173.83938693493,26173.83938693493,26173.83938693493,3330.6253607506865,0.0,2245.6687286156794,2202.1725006137094,1,0.0,LP
state_only_mean14,val_june,validation,2025-06-20,6,1,point,1,10669.859786274194,10669.859786274194,10669.859786274194,0.0,0.0,0.0,0.0,0,0.0,MILP
state_only_mean14,val_june,validation,2025-06-20,12,2,point,1,17333.264169563758,17333.264169563758,17333.264169563758,0.0,2.589928271845565e-12,9.222144825571378e-13,1.2053056457667868e-12,0,0.0,LP
state_only_mean14,val_june,validation,2025-06-20,18,3,point,2,14885.820109043772,14885.820109043772,14885.820109043772,45.38990546666628,0.0,27.1204685163331,28.30725243748119,1,0.0,LP
state_only_mean14,val_june,validation,2025-06-21,6,1,point,1,10154.766276132505,10154.766276132505,10154.766276132505,4.547473508864641e-13,0.0,2.205240434705047e-13,2.4765378319508656e-13,0,0.0,MILP
state_only_mean14,val_june,validation,2025-06-21,12,2,point,1,16956.732436661725,16956.732436661725,16956.732436661725,0.0,1.7621459846850485e-12,8.627750958112302e-13,9.726150551614407e-13,0,0.0,LP
state_only_mean14,val_june,validation,2025-06-21,18,3,point,2,15237.038888061577,15237.038888061577,15237.038888061577,228.8213550000017,0.0,128.8304613761675,142.17796798595927,1,0.0,LP
state_only_mean14,val_august,validation,2025-08-18,6,1,point,2,40131.87273776946,40131.87273776946,40131.87273776946,0.0,84.0714003292153,16.456976614443896,15.59794705608002,1,0.0,LP
state_only_mean14,val_august,validation,2025-08-18,12,2,point,2,38693.33016925966,38693.33016925966,38693.33016925966,0.0,992.0276255555552,200.15374753805548,170.5940519457658,1,0.0,MILP
state_only_mean14,val_august,validation,2025-08-18,18,3,point,1,30785.46319656224,30785.46319656224,30785.46319656224,0.0,2.2737367544323206e-13,1.2759073797496968e-13,1.2340381415145073e-13,0,0.0,LP
state_only_mean14,val_august,validation,2025-08-19,6,1,point,2,38444.50541036813,38444.50541036813,38444.50541036813,0.0,48.880103443070766,11.640796634967304,9.210757206654641,1,0.0,LP
state_only_mean14,val_august,validation,2025-08-19,12,2,point,2,37525.87932892605,37525.87932892605,37525.87932892605,0.0,975.3303006995941,226.6285314137935,173.37596861521803,1,0.0,LP
state_only_mean14,val_august,validation,2025-08-19,18,3,point,1,30664.006523287,30664.006523287,30664.006523287,0.0,2.2737367544323206e-13,1.294779394811485e-13,1.2307818256626238e-13,0,0.0,LP
state_only_mean14,val_august,validation,2025-08-20,6,1,point,2,42857.390405579594,42857.390405579594,42857.390405579594,0.0,3.0308094444444578,1.1120039851666716,1.0086966803888935,1,0.0,LP
state_only_mean14,val_august,validation,2025-08-20,12,2,point,2,38768.24217291505,38768.24217291505,38768.24217291505,0.0,145.9490594444428,35.246697855832934,27.958627323146512,1,0.0,LP
state_only_mean14,val_august,validation,2025-08-20,18,3,point,2,31085.63532879221,31085.63532879221,31085.63532879221,478.7727683666667,0.0,404.9732212811567,379.40603400121495,1,0.0,LP
state_only_mean14,val_august,validation,2025-08-21,6,1,point,2,40579.63074645955,40579.63074645955,40579.63074645955,0.0,222.76053304526863,51.821596270082594,45.747062321668956,1,0.0,LP
state_only_mean14,val_august,validation,2025-08-21,12,2,point,2,39495.689497863226,39495.689497863226,39495.689497863226,0.0,2351.523388888889,614.8395932122777,425.8389331799285,1,0.0,MILP
state_only_mean14,val_august,validation,2025-08-21,18,3,point,1,30410.972192976427,30410.972192976427,30410.972192976427,0.0,0.0,0.0,0.0,0,0.0,LP
state_only_mean14,val_august,validation,2025-08-22,6,1,point,2,17140.781627114546,17140.781627114546,17140.781627114546,33.44572672222155,0.0,9.60895728729425,12.135901390182099,1,0.0,MILP
state_only_mean14,val_august,validation,2025-08-22,12,2,point,1,24260.243244479872,24260.243244479872,24260.243244479872,0.0,3.410605131648481e-13,2.43267095356714e-13,2.6330683665167136e-13,0,0.0,LP
state_only_mean14,val_august,validation,2025-08-22,18,3,point,1,20968.77787473621,20968.77787473621,20968.77787473621,0.0,0.0,0.0,0.0,0,0.0,LP
state_only_mean14,val_august,validation,2025-08-23,6,1,point,1,16679.732777319823,16679.732777319823,16679.732777319823,0.0,0.0,0.0,0.0,0,0.0,MILP
state_only_mean14,val_august,validation,2025-08-23,12,2,point,1,23180.390926090782,23180.390926090782,23180.390926090782,0.0,1.1368683772161603e-13,8.508891369274351e-14,9.103148711022054e-14,0,0.0,LP
state_only_mean14,val_august,validation,2025-08-23,18,3,point,2,21626.85755202853,21626.85755202853,21626.85755202853,471.54789724999864,0.0,309.3975245933158,337.02960021540144,1,0.0,LP
state_only_mean14,val_august,validation,2025-08-24,6,1,point,2,39279.89897072429,39279.89897072429,39279.89897072429,0.0,165.76036508916428,28.97491181758592,29.354384653379316,1,0.0,LP
state_only_mean14,val_august,validation,2025-08-24,12,2,point,2,38525.997912930965,38525.997912930965,38525.997912930965,696.1105805144032,0.0,125.90077448037036,126.01793320529815,1,0.0,LP
