strategy,window,period,days,ordinary_kwh,emergency_kwh,ordinary_cost,adjustment_cost,emergency_cost,total_cost,paid_grid_spill_kwh,pv_spill_kwh,e_start,e_end,mean_actual_price,inventory_adjusted_cost,daily_cvar90,updates,changed_updates,emergency_slots
rolling_scenario_mean14,eval_september,evaluation,14,819182.1423603785,39.312891788887455,525665.3493180717,22802.32069151281,199.5373356297368,548667.2073452143,49896.938564013355,83233.4876213594,4786.287876925929,3203.861927925927,0.7184592261904762,549690.4250157544,50463.07237538483,42,32,3
rolling_scenario_mean14,eval_december,evaluation,14,1149364.7294896427,48.64248666666663,810057.3808747318,32173.746678140113,344.0635386766663,842575.1910915487,33707.29846365906,773.6455993141234,1246.1286812716075,1493.6274060414835,0.857148759920635,842384.262189032,77195.57866167967,42,29,2
rolling_scenario_shuffled,dev_march,development,14,817614.3622262056,319.21094888517706,486832.54074888787,25154.83831585669,1292.3040225496597,513279.6830872942,18763.052335086984,40405.07761170097,1637.1139451629633,1551.5879860725945,0.7306390376984127,513335.92283129744,49341.025839505906,42,30,13
rolling_scenario_shuffled,dev_april,development,14,655916.6502409835,945.6053492469438,374849.0532288758,15449.405686945625,4371.982595436094,394670.4415112575,6361.55849313869,84277.82282416253,1702.8397013611866,1265.3233534965918,0.6869833333333333,394940.951306397,38284.68551853597,42,33,21
rolling_scenario_shuffled,val_june,validation,14,916649.0224124404,71.84568666666678,606897.6148800483,30242.305503449716,489.8611796366675,637629.7815631347,24921.53598398568,30567.42645141976,1980.7640098607806,2848.3000507185193,0.7637298611111111,637033.4747011409,59292.51008795379,42,31,3
rolling_scenario_shuffled,val_august,validation,14,886769.1584535475,825.0235423767442,623180.6397281828,27592.634220752774,5246.447113106651,656019.7210620423,14329.492916612047,69259.85097827023,1761.9221305047624,2052.165066925925,0.7965640873015873,655811.6436722708,61153.65473288177,42,34,36
rolling_scenario_shuffled,eval_september,evaluation,14,818073.4720967214,239.34981567777828,525127.4765504407,19798.47982324944,1284.1827559561366,546210.1391296462,49329.550398264386,82768.80626303841,4786.287876925929,3203.861927925927,0.7184592261904762,547233.3568001863,50147.07443235116,42,32,7
rolling_scenario_shuffled,eval_december,evaluation,14,1145259.5886349506,979.4814667301689,806271.464440877,29121.621867889684,6503.152560944946,841896.2388697115,29461.412688275945,1276.17579604939,1246.1286812716075,1508.8511163639987,0.857148759920635,841693.565881213,77528.6757883151,42,29,7
rolling_scenario_price_update,dev_march,development,14,818170.8423229372,36.732187053332154,489160.778723291,33198.213795484444,227.43075493131232,522586.4232737068,18647.156334502382,41299.19334807956,1637.1139451629633,1730.5008551037026,0.7306390376984127,522525.01436389535,50225.38981002271,42,29,3
rolling_scenario_price_update,dev_april,development,14,667986.6667434581,46.41690166666517,381121.0473211421,15703.246938635708,222.27904472165946,397046.57330449944,11545.783339045674,90190.0680268889,1702.8397013611866,1693.1472904864224,0.6869833333333333,397052.56597675715,38774.82879969229,42,24,2
rolling_scenario_price_update,val_june,validation,14,930484.520425134,62.47918577777784,618714.4298823279,35484.18055051418,427.25663638022274,654625.8670692223,40837.07047149132,29913.004980271613,1980.7640098607806,2864.348099381063,0.7637298611111111,654018.5294706499,60849.94052958382,42,35,4
rolling_scenario_price_update,val_august,validation,14,897918.0712432927,344.05214943221876,631407.4842800926,31588.82618671433,2470.112910255604,665466.4233770625,19737.29493497281,74961.4593187915,1761.9221305047624,2341.972129475307,0.7965640873015873,665050.5810788452,62089.89840632005,42,32,20
rolling_scenario_price_update,eval_september,evaluation,14,819171.4947760163,39.312891788887455,525664.252743273,22801.425601879073,199.5373356297368,548665.2156807818,49894.9839116471,83233.4876213594,4786.287876925929,3203.861927925927,0.7184592261904762,549688.4333513218,50463.15907594341,42,32,3
rolling_scenario_price_update,eval_december,evaluation,14,1149240.130658071,48.64248666666663,810051.3868048274,32177.63087768452,344.0635386766663,842573.0812211885,33725.852743842515,773.6455993141234,1246.1286812716075,1493.6274060414835,0.857148759920635,842382.1523186719,77188.08938028806,42,29,2
